hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,516.8,304.6,-0.4,291.0,0.0
1,654.0,0.0,-52.6,0.0,-279.7,0.0
2,13.4,0.0,0.0,350.2,0.0,0.0
3,-124.0,1214.9,-137.3,0.0,116.8,0.0
4,-2.9,568.5,766.6,0.0,0.0,0.0
5,0.0,136.3,0.0,-59.2,946.5,0.0
6,612.9,472.7,255.1,-47.7,-876.7,0.0
7,292.8,361.4,133.8,0.0,0.0,0.0
8,682.0,-480.0,0.0,-319.9,0.0,0.0
9,233.9,0.0,0.0,764.4,2157.7,0.0
10,1020.5,240.0,-181.1,435.4,0.0,0.0
11,141.9,0.0,0.0,485.3,1414.5,0.0
12,0.0,10.7,413.3,0.0,812.8,0.0
13,313.8,205.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,350.5,0.0,0.0
15,62.6,0.0,0.0,1079.7,0.0,0.0
16,136.4,567.1,271.3,0.0,634.8,0.0
17,0.0,0.0,319.5,-217.6,0.0,724.5
18,18.0,102.7,347.8,0.0,0.0,694.6
19,-148.5,-58.2,98.3,552.0,0.0,728.5
20,263.2,0.0,503.9,0.0,0.0,0.0
21,478.8,0.0,0.0,-336.6,0.0,0.0
22,-66.7,330.2,0.0,425.7,0.0,411.7
23,0.0,461.5,619.9,103.2,0.0,0.0
