hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,72.22222222222221,61.111111111111114,71.42857142857143,54.54545454545454,0.0
1,72.72727272727273,0.0,52.94117647058824,0.0,71.42857142857143,0.0
2,71.42857142857143,0.0,0.0,68.75,0.0,0.0
3,50.0,70.96774193548387,67.85714285714286,0.0,65.71428571428571,0.0
4,64.51612903225806,60.86956521739131,70.37037037037037,0.0,0.0,0.0
5,0.0,76.92307692307693,0.0,76.19047619047619,75.0,0.0
6,66.66666666666666,71.42857142857143,65.38461538461539,64.70588235294117,58.82352941176471,0.0
7,64.70588235294117,72.22222222222221,68.75,0.0,0.0,0.0
8,70.0,60.0,0.0,55.88235294117647,0.0,0.0
9,61.53846153846154,0.0,0.0,75.86206896551724,75.0,0.0
10,62.06896551724138,56.52173913043478,76.47058823529412,75.0,0.0,0.0
11,65.21739130434783,0.0,0.0,65.21739130434783,75.86206896551724,0.0
12,0.0,68.96551724137932,75.0,0.0,73.91304347826086,0.0
13,67.74193548387096,60.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,67.85714285714286,0.0,0.0
15,73.07692307692307,0.0,0.0,71.42857142857143,0.0,0.0
16,85.0,66.66666666666666,63.63636363636363,0.0,62.06896551724138,0.0
17,0.0,0.0,66.66666666666666,66.66666666666666,0.0,70.96774193548387
18,72.22222222222221,75.0,84.61538461538461,0.0,0.0,60.71428571428571
19,63.63636363636363,53.84615384615385,69.23076923076923,70.37037037037037,0.0,80.0
20,70.0,0.0,60.0,0.0,0.0,0.0
21,68.57142857142857,0.0,0.0,64.28571428571429,0.0,0.0
22,57.14285714285714,65.51724137931035,0.0,76.19047619047619,0.0,65.51724137931035
23,0.0,78.26086956521739,74.07407407407408,69.56521739130434,0.0,0.0
