CONF_HIGH_THRESH,CONF_MED_THRESH,SL_HIGH,TP1_HIGH,TP2_HIGH,SL_MED,TP1_MED,TP2_MED,SL_LOW,TP1_LOW,TP2_LOW,trades,pnl,win_rate
0.7,0.6,1.0,0.8,1.8,1.3,0.6,1.4,1.5,0.4,1.0,508,6278.24,66.1
0.7,0.6,1.0,0.8,1.8,1.3,0.6,1.4,1.7,0.4,1.0,508,6296.24,66.1
0.7,0.6,1.0,0.8,1.8,1.3,0.7,1.4,1.5,0.4,1.0,508,6275.25,66.1
0.7,0.6,1.0,0.8,1.8,1.3,0.7,1.4,1.7,0.4,1.0,508,6277.25,66.1
0.7,0.6,1.0,1.0,1.8,1.3,0.6,1.4,1.5,0.4,1.0,508,6293.24,66.1
0.7,0.6,1.0,1.0,1.8,1.3,0.6,1.4,1.7,0.4,1.0,508,6285.24,66.1
0.7,0.6,1.0,1.0,1.8,1.3,0.7,1.4,1.5,0.4,1.0,508,6278.25,66.1
0.7,0.6,1.0,1.0,1.8,1.3,0.7,1.4,1.7,0.4,1.0,508,6315.25,66.1
0.7,0.6,1.2,0.8,1.8,1.3,0.6,1.4,1.5,0.4,1.0,508,6286.24,66.1
0.7,0.6,1.2,0.8,1.8,1.3,0.6,1.4,1.7,0.4,1.0,508,6274.24,66.1
0.7,0.6,1.2,0.8,1.8,1.3,0.7,1.4,1.5,0.4,1.0,508,6291.25,66.1
0.7,0.6,1.2,0.8,1.8,1.3,0.7,1.4,1.7,0.4,1.0,508,6283.24,66.1
0.7,0.6,1.2,1.0,1.8,1.3,0.6,1.4,1.5,0.4,1.0,508,6274.24,66.1
0.7,0.6,1.2,1.0,1.8,1.3,0.6,1.4,1.7,0.4,1.0,508,6280.24,66.1
0.7,0.6,1.2,1.0,1.8,1.3,0.7,1.4,1.5,0.4,1.0,508,6277.25,66.1
0.7,0.6,1.2,1.0,1.8,1.3,0.7,1.4,1.7,0.4,1.0,508,6293.24,66.1
0.75,0.6,1.0,0.8,1.8,1.3,0.6,1.4,1.5,0.4,1.0,508,6285.25,66.1
0.75,0.6,1.0,0.8,1.8,1.3,0.6,1.4,1.7,0.4,1.0,508,6298.24,66.1
0.75,0.6,1.0,0.8,1.8,1.3,0.7,1.4,1.5,0.4,1.0,508,6279.24,66.1
0.75,0.6,1.0,0.8,1.8,1.3,0.7,1.4,1.7,0.4,1.0,508,6253.24,66.1
0.75,0.6,1.0,1.0,1.8,1.3,0.6,1.4,1.5,0.4,1.0,508,6258.25,66.1
0.75,0.6,1.0,1.0,1.8,1.3,0.6,1.4,1.7,0.4,1.0,508,6277.24,66.1
0.75,0.6,1.0,1.0,1.8,1.3,0.7,1.4,1.5,0.4,1.0,508,6300.24,66.1
0.75,0.6,1.0,1.0,1.8,1.3,0.7,1.4,1.7,0.4,1.0,508,6248.24,66.1
0.75,0.6,1.2,0.8,1.8,1.3,0.6,1.4,1.5,0.4,1.0,508,6299.25,66.1
0.75,0.6,1.2,0.8,1.8,1.3,0.6,1.4,1.7,0.4,1.0,508,6303.24,66.1
0.75,0.6,1.2,0.8,1.8,1.3,0.7,1.4,1.5,0.4,1.0,508,6283.25,66.1
0.75,0.6,1.2,0.8,1.8,1.3,0.7,1.4,1.7,0.4,1.0,508,6258.24,66.1
0.75,0.6,1.2,1.0,1.8,1.3,0.6,1.4,1.5,0.4,1.0,508,6241.25,66.1
0.75,0.6,1.2,1.0,1.8,1.3,0.6,1.4,1.7,0.4,1.0,508,6313.25,66.1
0.75,0.6,1.2,1.0,1.8,1.3,0.7,1.4,1.5,0.4,1.0,508,6299.24,66.1
