run_dir,MTF2_CONFIG_TIMEZONE,MTF2_CONF_SL_ENABLED,MTF2_CONF_SL_INTERPOLATE,MTF2_CONF_SL_TIERS,MTF2_ENTRY_CONFIRM_BARS,MTF2_ENTRY_CONFIRM_ENABLED,MTF2_ENTRY_CONFIRM_MAX_WAIT_BARS,MTF2_ENTRY_CONFIRM_THRESHOLD,MTF2_EXCLUDED_HOURS_MODE,MTF2_META_FILTER_DMI_CHECK_ABSOLUTE,MTF2_META_FILTER_DMI_ENABLED,MTF2_META_FILTER_DMI_MIN_DIVERGENCE,MTF2_META_FILTER_DMI_MIN_DMP,MTF2_META_FILTER_MAMA_ENABLED,MTF2_META_FILTER_MAMA_MIN_DIFF,MTF2_POS1_TP_ATR_MULT,MTF2_POS2_TP_ATR_MULT,MTF2_PREDICTION_THRESHOLD,MTF2_SL_ATR_MULT,MTF2_TRADE_END_HOUR,MTF2_TRADE_START_HOUR,MTF2_TRAILING_ACTIVATION_ATR_MULT,MTF2_TRAILING_DISTANCE_ATR_MULT,metric__max_drawdown_pct,metric__max_drawdown_usd,metric__total_pnl,metric__total_trades,metric__win_rate
MTF_V2_ENTRY_CONFIRMED_20260125_141348,EST,false,false,"0.75:1.15,0.85:1.05,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-8.8,-266.67,2922.12,941.0,72.6
MTF_V2_ENTRY_CONFIRMED_20260125_142655,EST,true,false,"0.75:1.05,0.85:1.00,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-34.3,-12.6,24.57,14.0,71.4
MTF_V2_ENTRY_CONFIRMED_20260125_143016,EST,true,false,"0.75:1.05,0.85:1.00,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-50.5,-17.85,35.32,14.0,78.6
MTF_V2_ENTRY_CONFIRMED_20260125_144405,EST,true,true,"0.75:1.05,0.85:1.00,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-49.8,-18.1,36.32,14.0,78.6
MTF_V2_ENTRY_CONFIRMED_20260125_144535,EST,true,true,"0.75:1.05,0.85:1.00,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-37.3,-14.85,39.82,14.0,78.6
MTF_V2_ENTRY_CONFIRMED_20260125_144924,EST,true,false,"0.75:1.05,0.85:1.00,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-33.9,-13.85,40.82,14.0,78.6
MTF_V2_ENTRY_CONFIRMED_20260125_145558,EST,false,false,"0.75:1.05,0.85:1.00,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-48.2,-17.85,37.07,14.0,78.6
MTF_V2_ENTRY_CONFIRMED_20260125_145943,EST,false,false,"0.75:1.05,0.85:1.00,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-305.8,-123.83,-44.99,45.0,66.7
MTF_V2_ENTRY_CONFIRMED_20260125_150315,EST,true,false,"0.75:1.15,0.85:1.05,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-366.8,-143.79,-66.24,45.0,62.2
MTF_V2_ENTRY_CONFIRMED_20260125_150646,EST,true,false,"0.75:1.15,0.85:1.05,0.90:0.90",4,true    #false,8    #5 6,0.08,weekday,false             # Enable/disable absolute threshold check,true,"0.002              # Minimum divergence between DI+ and DI- (e.g., 0.05 = 5% difference required)","0.19                    # Absolute minimum threshold (e.g., DI+ >= 0.19 for LONG)",true,0.0001,0.6  #0.6 0.7 0.95,2.0,0.69      #0.55  0.65 0.68  0.7 (BEST: 0.68 from optimization),1.2 #1.2,24,0,0.6,0.4,-385.4,-145.29,-68.49,45.0,62.2
