Hour,Fade_Percent,Win_Rate,Recommended_SL,Profit_Factor,Recommended_TP,TP_Reason,Strategy
22,40.74074074074074,74.07407407407408,1.4,1.4061826798793624,0.6,Standard configuration,"SL=1.4x, TP=0.6x"
21,34.88372093023256,86.04651162790698,1.6,1.5671336064490553,0.6,Standard configuration,"SL=1.6x, TP=0.6x"
20,33.76623376623377,83.11688311688312,1.6,2.0182143567309607,0.6,Standard configuration,"SL=1.6x, TP=0.6x"
19,33.33333333333333,77.77777777777779,1.6,1.5382738896366082,0.7,Good performance,"SL=1.6x, TP=0.7x"
18,30.0,70.0,1.4,0.9015591562213391,0.6,Standard configuration,"SL=1.4x, TP=0.6x"
17,27.58620689655172,86.20689655172413,1.6,2.3901519119958095,0.7,Good performance,"SL=1.6x, TP=0.7x"
10,23.404255319148938,78.72340425531915,1.4,1.8056280135957632,0.7,Good performance,"SL=1.4x, TP=0.7x"
16,21.73913043478261,82.6086956521739,1.4,3.3678955453149,0.8,High win rate + good profit size,"SL=1.4x, TP=0.8x"
2,17.02127659574468,80.85106382978722,1.4,1.652037000590435,0.6,Standard configuration,"SL=1.4x, TP=0.6x"
3,16.129032258064516,70.96774193548387,1.4,1.1679777122255,0.6,Standard configuration,"SL=1.4x, TP=0.6x"
5,16.0,72.0,1.4,1.3007741347905284,0.6,Standard configuration,"SL=1.4x, TP=0.6x"
9,15.0,75.0,1.4,1.06030776193709,0.7,Good performance,"SL=1.4x, TP=0.7x"
4,12.5,73.4375,1.2,1.5508401551055582,0.6,Standard configuration,"SL=1.2x, TP=0.6x"
23,9.574468085106384,71.27659574468085,1.2,1.3586588508767499,0.6,Standard configuration,"SL=1.2x, TP=0.6x"
15,8.571428571428571,80.0,1.2,2.7781384642625273,0.8,High win rate + good profit size,"SL=1.2x, TP=0.8x"
14,7.894736842105263,60.526315789473685,1.0,0.7144448882628711,0.5,Low win rate - reduce TP,"SL=1.0x, TP=0.5x"
13,6.0606060606060606,78.78787878787878,1.2,2.247015287017049,0.7,Good performance,"SL=1.2x, TP=0.7x"
11,4.166666666666666,75.0,1.2,1.3464672838040985,0.7,Good performance,"SL=1.2x, TP=0.7x"
6,3.7037037037037033,55.55555555555556,1.0,0.7610877897426538,0.5,Low win rate - reduce TP,"SL=1.0x, TP=0.5x"
12,2.3255813953488373,67.44186046511628,1.2,0.8786999550157445,0.6,Standard configuration,"SL=1.2x, TP=0.6x"
1,2.3255813953488373,74.4186046511628,1.2,1.0297545721595753,0.6,Standard configuration,"SL=1.2x, TP=0.6x"
0,2.127659574468085,65.95744680851064,1.2,0.8458107910513235,0.6,Standard configuration,"SL=1.2x, TP=0.6x"
7,0.0,66.66666666666666,1.2,0.9835651074589128,0.6,Standard configuration,"SL=1.2x, TP=0.6x"
