iteration,stall_check_bars,stall_min_profit,stall_sl_atr,sl_atr_mult,pos1_tp_atr_mult,pos2_tp_atr_mult,trailing_distance_atr_mult,total_trades,pnl,win_rate,max_drawdown,weighted_score
Test_59,2,0.3,0.05,1.6,0.6,2.0,0.4,133,191.66,78.2,-169.46,12.60284
Test_58,2,0.3,0.05,1.6,0.6,2.0,0.3,133,191.66,78.2,-169.46,12.60284
Test_63,2,0.3,0.05,1.6,0.6,2.5,0.5,133,191.66,78.2,-169.46,12.60284
Test_57,2,0.3,0.05,1.6,0.6,1.5,0.5,133,191.66,78.2,-169.46,12.60284
Test_55,2,0.3,0.05,1.6,0.6,1.5,0.3,133,191.66,78.2,-169.46,12.60284
Test_62,2,0.3,0.05,1.6,0.6,2.5,0.4,133,191.66,78.2,-169.46,12.60284
Test_61,2,0.3,0.05,1.6,0.6,2.5,0.3,133,191.66,78.2,-169.46,12.60284
Test_60,2,0.3,0.05,1.6,0.6,2.0,0.5,133,191.66,78.2,-169.46,12.60284
Test_56,2,0.3,0.05,1.6,0.6,1.5,0.4,133,191.66,78.2,-169.46,12.60284
Test_30,2,0.3,0.05,1.4,0.6,1.5,0.5,133,200.46,76.7,-158.46,12.068039999999998
Test_32,2,0.3,0.05,1.4,0.6,2.0,0.4,133,200.46,76.7,-158.46,12.068039999999998
Test_35,2,0.3,0.05,1.4,0.6,2.5,0.4,133,200.46,76.7,-158.46,12.068039999999998
Test_29,2,0.3,0.05,1.4,0.6,1.5,0.4,133,200.46,76.7,-158.46,12.068039999999998
Test_28,2,0.3,0.05,1.4,0.6,1.5,0.3,133,200.46,76.7,-158.46,12.068039999999998
Test_31,2,0.3,0.05,1.4,0.6,2.0,0.3,133,200.46,76.7,-158.46,12.068039999999998
Test_33,2,0.3,0.05,1.4,0.6,2.0,0.5,133,200.46,76.7,-158.46,12.068039999999998
BASELINE,2,0.3,0.05,1.4,0.6,1.5,0.4,133,200.46,76.7,-158.46,12.068039999999998
Test_36,2,0.3,0.05,1.4,0.6,2.5,0.5,133,200.46,76.7,-158.46,12.068039999999998
Test_34,2,0.3,0.05,1.4,0.6,2.5,0.3,133,200.46,76.7,-158.46,12.068039999999998
Test_66,2,0.3,0.05,1.6,0.8,1.5,0.5,127,127.28,74.8,-167.06,10.377319999999996
Test_68,2,0.3,0.05,1.6,0.8,2.0,0.4,127,127.28,74.8,-167.06,10.377319999999996
Test_67,2,0.3,0.05,1.6,0.8,2.0,0.3,127,127.28,74.8,-167.06,10.377319999999996
Test_70,2,0.3,0.05,1.6,0.8,2.5,0.3,127,127.28,74.8,-167.06,10.377319999999996
Test_65,2,0.3,0.05,1.6,0.8,1.5,0.4,127,127.28,74.8,-167.06,10.377319999999996
Test_64,2,0.3,0.05,1.6,0.8,1.5,0.3,127,127.28,74.8,-167.06,10.377319999999996
Test_69,2,0.3,0.05,1.6,0.8,2.0,0.5,127,127.28,74.8,-167.06,10.377319999999996
Test_71,2,0.3,0.05,1.6,0.8,2.5,0.4,127,127.28,74.8,-167.06,10.377319999999996
Test_72,2,0.3,0.05,1.6,0.8,2.5,0.5,127,127.28,74.8,-167.06,10.377319999999996
Test_42,2,0.3,0.05,1.4,0.8,2.0,0.5,127,140.48,73.2,-156.06,9.800120000000003
Test_41,2,0.3,0.05,1.4,0.8,2.0,0.4,127,140.48,73.2,-156.06,9.800120000000003
Test_37,2,0.3,0.05,1.4,0.8,1.5,0.3,127,140.48,73.2,-156.06,9.800120000000003
Test_40,2,0.3,0.05,1.4,0.8,2.0,0.3,127,140.48,73.2,-156.06,9.800120000000003
Test_39,2,0.3,0.05,1.4,0.8,1.5,0.5,127,140.48,73.2,-156.06,9.800120000000003
Test_38,2,0.3,0.05,1.4,0.8,1.5,0.4,127,140.48,73.2,-156.06,9.800120000000003
Test_45,2,0.3,0.05,1.4,0.8,2.5,0.5,127,140.48,73.2,-156.06,9.800120000000003
Test_43,2,0.3,0.05,1.4,0.8,2.5,0.3,127,140.48,73.2,-156.06,9.800120000000003
Test_44,2,0.3,0.05,1.4,0.8,2.5,0.4,127,140.48,73.2,-156.06,9.800120000000003
Test_01,2,0.3,0.05,1.2,0.6,1.5,0.3,136,197.07,74.3,-192.38,9.596879999999999
Test_05,2,0.3,0.05,1.2,0.6,2.0,0.4,136,197.07,74.3,-192.38,9.596879999999999
Test_04,2,0.3,0.05,1.2,0.6,2.0,0.3,136,197.07,74.3,-192.38,9.596879999999999
Test_03,2,0.3,0.05,1.2,0.6,1.5,0.5,136,197.07,74.3,-192.38,9.596879999999999
Test_02,2,0.3,0.05,1.2,0.6,1.5,0.4,136,197.07,74.3,-192.38,9.596879999999999
Test_09,2,0.3,0.05,1.2,0.6,2.5,0.5,136,197.07,74.3,-192.38,9.596879999999999
Test_08,2,0.3,0.05,1.2,0.6,2.5,0.4,136,197.07,74.3,-192.38,9.596879999999999
Test_07,2,0.3,0.05,1.2,0.6,2.5,0.3,136,197.07,74.3,-192.38,9.596879999999999
Test_06,2,0.3,0.05,1.2,0.6,2.0,0.5,136,197.07,74.3,-192.38,9.596879999999999
