trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250806-220300-001-MA_CROSS-1,O-20250807-001000-001-MA_CROSS-4,BUY,FLAT,0.00,100000.00,1754517780000000000,2025-08-06 22:03:00+00:00,1754525400000000000,2025-08-07 00:10:00+00:00,7620000000000,1.166199999999,1.1655200000009998,['4.66 USD'],-0.00058,-72.66 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250807-021400-001-MA_CROSS-5,O-20250807-033100-001-MA_CROSS-8,BUY,FLAT,0.00,100000.00,1754532840000000000,2025-08-07 02:14:00+00:00,1754537460000000000,2025-08-07 03:31:00+00:00,4620000000000,1.1664999999990002,1.1657100000010001,['4.66 USD'],-0.00068,-83.66 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250807-034600-001-MA_CROSS-9,O-20250807-094000-001-MA_CROSS-12,BUY,FLAT,0.00,100000.00,1754538360000000000,2025-08-07 03:46:00+00:00,1754559600000000000,2025-08-07 09:40:00+00:00,21240000000000,1.165969999999,1.167670000001,['4.67 USD'],0.00146,165.33 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250807-162700-001-MA_CROSS-13,O-20250807-183500-001-MA_CROSS-16,BUY,FLAT,0.00,100000.00,1754584020000000000,2025-08-07 16:27:00+00:00,1754591700000000000,2025-08-07 18:35:00+00:00,7680000000000,1.1643799999989999,1.162850000001,['4.66 USD'],-0.00131,-157.66 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250807-194600-001-MA_CROSS-17,O-20250808-011600-001-MA_CROSS-20,BUY,FLAT,0.00,100000.00,1754595960000000000,2025-08-07 19:46:00+00:00,1754615760000000000,2025-08-08 01:16:00+00:00,19800000000000,1.165499999999,1.166170000001,['4.66 USD'],0.00057,62.34 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250808-072400-001-MA_CROSS-21,O-20250808-084600-001-MA_CROSS-24,BUY,FLAT,0.00,100000.00,1754637840000000000,2025-08-08 07:24:00+00:00,1754642760000000000,2025-08-08 08:46:00+00:00,4920000000000,1.1656099999990002,1.164580000001,['4.66 USD'],-0.00088,-107.66 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250808-114600-001-MA_CROSS-25,O-20250808-163000-001-MA_CROSS-28,BUY,FLAT,0.00,100000.00,1754653560000000000,2025-08-08 11:46:00+00:00,1754670600000000000,2025-08-08 16:30:00+00:00,17040000000000,1.164649999999,1.165300000001,['4.66 USD'],0.00056,60.34 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250808-171800-001-MA_CROSS-29,O-20250808-184600-001-MA_CROSS-32,BUY,FLAT,0.00,100000.00,1754673480000000000,2025-08-08 17:18:00+00:00,1754678760000000000,2025-08-08 18:46:00+00:00,5280000000000,1.166109999999,1.165570000001,['4.66 USD'],-0.00046,-58.66 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250810-222700-001-MA_CROSS-33,O-20250810-224600-001-MA_CROSS-36,BUY,FLAT,0.00,100000.00,1754864820000000000,2025-08-10 22:27:00+00:00,1754865960000000000,2025-08-10 22:46:00+00:00,1140000000000,1.1648299999990002,1.1645000000010002,['4.66 USD'],-0.00028,-37.66 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250810-231300-001-MA_CROSS-37,O-20250811-004100-001-MA_CROSS-40,BUY,FLAT,0.00,100000.00,1754867580000000000,2025-08-10 23:13:00+00:00,1754872860000000000,2025-08-11 00:41:00+00:00,5280000000000,1.1647999999990002,1.1642200000010001,['4.66 USD'],-0.0005,-62.66 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250811-011800-001-MA_CROSS-41,O-20250811-062600-001-MA_CROSS-44,BUY,FLAT,0.00,100000.00,1754875080000000000,2025-08-11 01:18:00+00:00,1754893560000000000,2025-08-11 06:26:00+00:00,18480000000000,1.1650299999990001,1.166720000001,['4.66 USD'],0.00145,164.34 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250811-174200-001-MA_CROSS-45,O-20250811-193700-001-MA_CROSS-48,BUY,FLAT,0.00,100000.00,1754934120000000000,2025-08-11 17:42:00+00:00,1754941020000000000,2025-08-11 19:37:00+00:00,6900000000000,1.1608599999990001,1.160500000001,['4.64 USD'],-0.00031,-40.64 USD,True
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-001,O-20250811-202500-001-MA_CROSS-49,O-20250812-042700-001-MA_CROSS-52,BUY,FLAT,0.00,100000.00,1754943900000000000,2025-08-11 20:25:00+00:00,1754972820000000000,2025-08-12 04:27:00+00:00,28920000000000,1.1613699999990001,1.161840000001,['4.64 USD'],0.0004,42.36 USD,True
