hour,trade_count,total_pnl,avg_pnl,std_pnl,winners,win_rate,losers,pnl_if_excluded,pnl_improvement
14,7,2224.55,317.79,312.4,5,71.4,2,10585.34,-2224.5499999999993
8,6,2116.14,352.69,347.45,5,83.3,1,10693.75,-2116.1399999999994
19,5,1097.5,219.5,393.99,3,60.0,2,11712.39,-1097.5
6,3,1094.49,364.83,229.95,3,100.0,0,11715.4,-1094.4899999999998
15,11,1019.39,92.67,392.61,5,45.5,6,11790.5,-1019.3899999999994
9,2,989.54,494.77,0.14,2,100.0,0,11820.349999999999,-989.5400000000009
7,2,988.76,494.38,0.04,2,100.0,0,11821.13,-988.7600000000002
11,3,884.12,294.71,345.86,2,66.7,1,11925.769999999999,-884.1200000000008
17,6,820.01,136.67,400.61,3,50.0,3,11989.88,-820.0100000000002
20,3,632.64,210.88,491.05,2,66.7,1,12177.25,-632.6399999999994
10,3,460.04,153.35,375.92,2,66.7,1,12349.849999999999,-460.0400000000009
16,6,413.52,68.92,466.05,3,50.0,3,12396.369999999999,-413.52000000000044
3,4,339.44,84.86,474.11,2,50.0,2,12470.449999999999,-339.4400000000005
18,4,275.97,68.99,491.44,2,50.0,2,12533.92,-275.96999999999935
4,2,162.2,81.1,585.16,1,50.0,1,12647.689999999999,-162.20000000000073
5,2,138.16,69.08,602.13,1,50.0,1,12671.73,-138.15999999999985
23,2,137.8,68.9,601.65,1,50.0,1,12672.09,-137.79999999999927
21,2,137.56,68.78,601.76,1,50.0,1,12672.33,-137.5599999999995
0,4,-108.2,-27.05,372.45,1,25.0,3,12918.09,108.20000000000073
13,4,-204.22,-51.06,403.51,2,50.0,2,13014.109999999999,204.21999999999935
2,3,-218.18,-72.73,491.31,1,33.3,2,13028.07,218.1800000000003
22,2,-234.82,-117.41,97.93,0,0.0,2,13044.71,234.8199999999997
1,1,-356.52,-356.52,,0,0.0,1,13166.41,356.52000000000044
