run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses
1,42,270,0.35,5,15,5,4,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,13.482484817504883,logs\backtest_results\EUR-USD_20251023_074849_774563,11
18,42,270,0.35,5,15,15,12,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,13.466030359268188,logs\backtest_results\EUR-USD_20251023_074849_789726,11
19,42,270,0.35,5,15,15,14,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,13.549366235733032,logs\backtest_results\EUR-USD_20251023_074849_944116,11
9,42,270,0.35,5,15,10,8,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,13.601095914840698,logs\backtest_results\EUR-USD_20251023_074849_936918,11
15,42,270,0.35,5,15,15,4,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,13.698254346847534,logs\backtest_results\EUR-USD_20251023_074850_008882,11
8,42,270,0.35,5,15,10,4,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,13.764472961425781,logs\backtest_results\EUR-USD_20251023_074850_090588,11
16,42,270,0.35,5,15,15,8,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,13.803252935409546,logs\backtest_results\EUR-USD_20251023_074850_157636,11
17,42,270,0.35,5,15,15,10,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,14.070034980773926,logs\backtest_results\EUR-USD_20251023_074850_401708,11
23,42,270,0.35,5,15,22,8,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,14.62988567352295,logs\backtest_results\EUR-USD_20251023_074904_470134,11
28,42,270,0.35,5,15,22,18,True,14,True,14,3,30,70,-1342.6,-0.22602131408940546,0.1746031746031746,0.0,63,144.88,-56.7,0.0,-21.3111111111111,238,completed,,14.7208833694458,logs\backtest_results\EUR-USD_20251023_074904_858309,11
