run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses
7,42,270,0.35,15,30,15,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,79.20775270462036,logs\backtest_results\EUR-USD_20251104_213916_469126,12
11,42,270,0.35,15,30,20,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,79.17963719367981,logs\backtest_results\EUR-USD_20251104_213916_485015,12
1,42,270,0.35,15,30,10,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,79.98882341384888,logs\backtest_results\EUR-USD_20251104_213917_332005,12
6,42,270,0.35,15,30,15,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,80.4143533706665,logs\backtest_results\EUR-USD_20251104_213917_497861,12
14,42,270,0.35,15,30,20,15,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,81.05731964111328,logs\backtest_results\EUR-USD_20251104_213918_181122,12
13,42,270,0.35,15,30,20,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,81.18618059158325,logs\backtest_results\EUR-USD_20251104_213918_223767,12
8,42,270,0.35,15,30,15,12,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,86.15744209289551,logs\backtest_results\EUR-USD_20251104_213922_813148,12
12,42,270,0.35,15,30,20,10,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,88.69901943206787,logs\backtest_results\EUR-USD_20251104_213925_119667,12
15,42,270,0.35,15,30,20,18,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,108.59793329238892,logs\backtest_results\EUR-USD_20251104_214104_421622,12
16,42,270,0.35,15,30,25,8,True,14,0.0,True,14,3,30,70,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-2348.1,0.007,0.3388704318936877,0.0,602,293.3415196078431,-156.2557035175879,0.0,-3.9004983388704217,146177,completed,,109.37400126457214,logs\backtest_results\EUR-USD_20251104_214105_123248,12
