run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
28,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,50,False,2-MINUTE-MID-EXTERNAL,pullback,5,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,14.901785612106323,logs\backtest_results\EUR-USD_20251103_201335_664541,3,0.453,1
29,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,50,False,2-MINUTE-MID-EXTERNAL,pullback,10,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,15.174453496932983,logs\backtest_results\EUR-USD_20251103_201350_860990,3,0.453,2
30,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,50,False,2-MINUTE-MID-EXTERNAL,pullback,15,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,14.574485778808594,logs\backtest_results\EUR-USD_20251103_201405_510678,3,0.453,3
34,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,100,False,2-MINUTE-MID-EXTERNAL,pullback,5,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,17.266525268554688,logs\backtest_results\EUR-USD_20251103_201514_350093,3,0.453,4
35,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,100,False,2-MINUTE-MID-EXTERNAL,pullback,10,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,17.899500370025635,logs\backtest_results\EUR-USD_20251103_201532_190156,3,0.453,5
36,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,20,100,False,2-MINUTE-MID-EXTERNAL,pullback,15,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,18.27870750427246,logs\backtest_results\EUR-USD_20251103_201550_522997,3,0.453,6
40,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,50,False,2-MINUTE-MID-EXTERNAL,pullback,5,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,14.729852676391602,logs\backtest_results\EUR-USD_20251103_201655_199926,3,0.453,7
41,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,50,False,2-MINUTE-MID-EXTERNAL,pullback,10,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,14.94424033164978,logs\backtest_results\EUR-USD_20251103_201710_146543,3,0.453,8
42,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,50,False,2-MINUTE-MID-EXTERNAL,pullback,15,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,14.638286828994751,logs\backtest_results\EUR-USD_20251103_201724_849354,3,0.453,9
46,42,270,0.35,35,50,22,12,True,10,True,18,3,30,65,False,1-DAY-MID-EXTERNAL,30,100,False,2-MINUTE-MID-EXTERNAL,pullback,5,14203.91,0.453,0.6,0.0,85,462.2701960784316,-275.64323529411763,0.0,167.10482352941187,678,completed,,14.743459939956665,logs\backtest_results\EUR-USD_20251103_201825_647642,3,0.453,10
