run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
255,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,7110.68,0.132,0.4785714285714286,0.0,140,494.5001492537316,-356.4497260273971,0.0,50.79057142857167,5616,completed,,101.7525839805603,logs\backtest_results\EUR-USD_20251105_111010_167760,5,0.132,1
233,30,200,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,7043.19,0.115,0.390625,0.0,192,494.48946666666694,-256.7822222222221,0.0,36.68328125000017,5958,completed,,101.34590315818787,logs\backtest_results\EUR-USD_20251105_110747_575356,10,0.115,2
256,42,270,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,6085.97,0.114,0.3709677419354839,0.0,124,736.9358695652173,-356.57794871794846,0.0,49.08040322580659,7442,completed,,65.14607095718384,logs\backtest_results\EUR-USD_20251105_111031_570518,11,0.114,3
239,30,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,5565.88,0.103,0.4647887323943662,0.0,142,494.85636363636377,-356.50842105263143,0.0,39.19633802816916,5933,completed,,101.05170321464539,logs\backtest_results\EUR-USD_20251105_110827_146203,6,0.103,4
144,10,270,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,6477.93,0.094,0.3624161073825503,0.0,149,745.2998148148149,-355.4553684210525,0.0,43.47604026845643,14179,completed,,105.51532459259033,logs\backtest_results\EUR-USD_20251105_105710_463643,7,0.094,5
253,42,270,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,5183.44,0.094,0.38235294117647056,0.0,170,494.4772307692311,-256.738857142857,0.0,30.490823529411944,4017,completed,,102.10017538070679,logs\backtest_results\EUR-USD_20251105_111004_037101,8,0.094,6
237,30,270,0.35,25,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,4425.96,0.083,0.3764705882352941,0.0,170,494.47156250000035,-256.79452830188666,0.0,26.035058823529614,4143,completed,,104.58846092224121,logs\backtest_results\EUR-USD_20251105_110820_302594,10,0.083,7
223,20,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,4416.6,0.08,0.4533333333333333,0.0,150,494.85352941176495,-356.50536585365836,0.0,29.444000000000212,6399,completed,,105.43495869636536,logs\backtest_results\EUR-USD_20251105_110638_680109,6,0.08,8
235,30,200,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,3654.53,0.067,0.4451219512195122,0.0,164,494.50232876712334,-356.5290109890107,0.0,22.28371951219528,7518,completed,,102.66983246803284,logs\backtest_results\EUR-USD_20251105_110752_702673,6,0.067,9
236,30,200,0.35,35,75,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,3553.29,0.065,0.34532374100719426,0.0,139,744.521875,-353.667692307692,0.0,25.5632374100722,9755,completed,,106.46551132202148,logs\backtest_results\EUR-USD_20251105_110802_128202,11,0.065,10
