run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,dmi_minimum_difference,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,trend_filter_enabled,trend_bar_spec,trend_fast_period,trend_slow_period,entry_timing_enabled,entry_timing_bar_spec,entry_timing_method,entry_timing_timeout_bars,bar_spec,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank
12,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,7110.68,0.132,0.4785714285714286,0.0,140,494.5001492537316,-356.4497260273971,0.0,50.79057142857167,5616,completed,,94.488685131073,logs\backtest_results\EUR-USD_20251105_102016_403008,5,0.132,1
10,20,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,4416.6,0.08,0.4533333333333333,0.0,150,494.85352941176495,-356.50536585365836,0.0,29.444000000000212,6399,completed,,96.13948225975037,logs\backtest_results\EUR-USD_20251105_102017_954234,6,0.08,2
4,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,4743.14,0.049,0.436241610738255,0.0,298,494.5309230769234,-354.43976190476235,0.0,15.916577181207908,308171,completed,,165.56680607795715,logs\backtest_results\EUR-USD_20251105_102123_782195,7,0.049,3
8,42,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,2528.24,0.045,0.436046511627907,0.0,172,494.3948000000003,-356.19969072164946,0.0,14.699069767442014,10270,completed,,99.90206527709961,logs\backtest_results\EUR-USD_20251105_102022_604021,9,0.045,4
2,20,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,1179.1,0.019,0.421875,0.0,320,494.5962222222227,-354.54805405405443,0.0,3.6846874999999732,310740,completed,,166.16604948043823,logs\backtest_results\EUR-USD_20251105_102124_483848,10,0.019,5
3,42,100,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-333.62,0.009,0.4176829268292683,0.0,328,494.5383211678832,-356.4679057591622,0.0,-1.017134146341396,326812,completed,,163.26686811447144,logs\backtest_results\EUR-USD_20251105_102120_497809,8,0.009,6
6,20,270,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-2442.01,-0.02,0.40217391304347827,0.0,184,495.78162162162187,-355.7259090909092,0.0,-13.271793478260856,11053,completed,,100.6579077243805,logs\backtest_results\EUR-USD_20251105_102023_161135,7,-0.02,7
1,20,100,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,1-MINUTE-MID-EXTERNAL,-6713.11,-0.033,0.39520958083832336,0.0,334,494.557424242424,-356.4093564356434,0.0,-20.09913173652694,342576,completed,,162.59665513038635,logs\backtest_results\EUR-USD_20251105_102119_351199,11,-0.033,8
11,42,100,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,15-MINUTE-MID-EXTERNAL,-8937.09,-0.088,0.37037037037037035,0.0,216,494.26500000000016,-356.45801470588253,0.0,-41.37541666666675,12630,completed,,97.55463218688965,logs\backtest_results\EUR-USD_20251105_102018_738710,6,-0.088,9
7,42,100,0.35,35,50,22,12,True,10,0.0,True,18,3,30,65,False,1-HOUR-MID-EXTERNAL,20,50,False,5-MINUTE-MID-EXTERNAL,pullback,10,5-MINUTE-MID-EXTERNAL,-11337.51,-0.104,0.3601694915254237,0.0,236,495.38517647058836,-353.94205298013253,0.0,-48.04029661016954,20356,completed,,101.32943630218506,logs\backtest_results\EUR-USD_20251105_102023_289674,7,-0.104,10
