run_id,fast_period,slow_period,crossover_threshold_pips,stop_loss_pips,take_profit_pips,trailing_stop_activation_pips,trailing_stop_distance_pips,dmi_enabled,dmi_period,stoch_enabled,stoch_period_k,stoch_period_d,stoch_bullish_threshold,stoch_bearish_threshold,total_pnl,sharpe_ratio,win_rate,max_drawdown,trade_count,avg_winner,avg_loser,profit_factor,expectancy,rejected_signals_count,status,error_message,backtest_duration_seconds,output_directory,consecutive_losses,objective_value,rank,pnl_rank
97,40,250,0.5,25,50,20,15,True,14,True,14,3,30,70,6279.84,0.0,0.4489795918367347,0.0,49,1189.64,-255.54,0.0,128.16000000000005,543,completed,,17.42538022994995,logs\backtest_results\EUR-USD_20251021_205541,4,0.0,94.0,1
96,40,250,0.0,25,50,20,15,True,14,True,14,3,30,70,6279.84,0.0,0.4489795918367347,0.0,49,1189.64,-255.54,0.0,128.16000000000005,543,completed,,17.37885308265686,logs\backtest_results\EUR-USD_20251021_205541,4,0.0,92.0,2
98,40,250,1.0,25,50,20,15,True,14,True,14,3,30,70,6279.84,0.0,0.4489795918367347,0.0,49,1189.64,-255.54,0.0,128.16000000000005,543,completed,,17.18263053894043,logs\backtest_results\EUR-USD_20251021_205541,4,0.0,93.0,3
99,40,250,1.5,25,50,20,15,True,14,True,14,3,30,70,5356.13,0.0,0.42,0.0,50,1189.64,-255.55,0.0,107.12259999999992,646,completed,,18.056556224823,logs\backtest_results\EUR-USD_20251021_205542,4,0.0,95.0,4
121,50,250,0.0,25,50,20,15,True,14,True,14,3,30,70,5053.2,0.0,0.4186046511627907,0.0,43,1189.64,-255.54,0.0,117.5162790697675,452,completed,,16.86699628829956,logs\backtest_results\EUR-USD_20251021_205619,5,0.0,112.0,5
123,50,250,1.0,25,50,20,15,True,14,True,14,3,30,70,5035.94,0.0,0.4186046511627907,0.0,43,1189.64,-255.55,0.0,117.11488372093028,566,completed,,13.036218404769896,logs\backtest_results\EUR-USD_20251021_205628,4,0.0,114.0,6
100,40,250,2.0,25,50,20,15,True,14,True,14,3,30,70,4969.21,0.0,0.4166666666666667,0.0,48,1189.64,-255.55,0.0,103.52520833333334,711,completed,,17.177640676498413,logs\backtest_results\EUR-USD_20251021_205544,6,0.0,96.0,7
124,50,250,1.5,25,50,20,15,True,14,True,14,3,30,70,4840.14,0.0,0.425,0.0,40,1189.64,-255.55,0.0,121.0035,638,completed,,12.808584451675417,logs\backtest_results\EUR-USD_20251021_205628,3,0.0,115.0,8
125,50,250,2.0,25,50,20,15,True,14,True,14,3,30,70,4840.14,0.0,0.425,0.0,40,1189.64,-255.55,0.0,121.0035,638,completed,,12.291856050491331,logs\backtest_results\EUR-USD_20251021_205628,3,0.0,116.0,9
122,50,250,0.5,25,50,20,15,True,14,True,14,3,30,70,4195.11,0.0,0.4,0.0,40,1189.64,-255.55,0.0,104.87775000000008,476,completed,,13.261671543121338,logs\backtest_results\EUR-USD_20251021_205627,5,0.0,113.0,10
120,50,200,2.0,25,50,20,15,True,14,True,14,3,30,70,3231.11,0.0,0.375,0.0,48,799.64,-255.68,0.0,67.31479166666662,872,completed,,17.016616106033325,logs\backtest_results\EUR-USD_20251021_205617,5,0.0,111.0,11
119,50,200,1.5,25,50,20,15,True,14,True,14,3,30,70,2447.36,0.0,0.3396226415094339,0.0,53,799.64,-255.71,0.0,46.1766037735849,645,completed,,16.86605930328369,logs\backtest_results\EUR-USD_20251021_205616,5,0.0,108.0,12
117,50,200,0.5,25,50,20,15,True,14,True,14,3,30,70,2447.36,0.0,0.3396226415094339,0.0,53,799.64,-255.71,0.0,46.1766037735849,645,completed,,17.53816246986389,logs\backtest_results\EUR-USD_20251021_205616,5,0.0,110.0,13
118,50,200,1.0,25,50,20,15,True,14,True,14,3,30,70,2447.36,0.0,0.3396226415094339,0.0,53,799.64,-255.71,0.0,46.1766037735849,645,completed,,17.21874976158142,logs\backtest_results\EUR-USD_20251021_205616,5,0.0,109.0,14
73,30,250,1.0,25,50,20,15,True,14,True,14,3,30,70,2369.66,0.0,0.3461538461538461,0.0,52,535.8,-255.7,0.0,45.5703846153846,576,completed,,16.25969123840332,logs\backtest_results\EUR-USD_20251021_205448,9,0.0,68.0,15
72,30,250,0.5,25,50,20,15,True,14,True,14,3,30,70,2369.66,0.0,0.3461538461538461,0.0,52,535.8,-255.7,0.0,45.5703846153846,576,completed,,16.771117448806763,logs\backtest_results\EUR-USD_20251021_205448,9,0.0,69.0,16
23,10,250,1.0,25,50,20,15,True,14,True,14,3,30,70,2138.34,0.0,0.3243243243243243,0.0,74,666.43,-255.71,0.0,28.89648648648651,425,completed,,14.997772216796877,logs\backtest_results\EUR-USD_20251021_205305,10,0.0,20.0,17
19,10,200,1.5,25,50,20,15,True,14,True,14,3,30,70,2138.34,0.0,0.3243243243243243,0.0,0,666.43,-255.71,0.0,28.89648648648651,425,completed,,15.68734359741211,logs\backtest_results\EUR-USD_20251021_205305,0,0.0,19.0,18
116,50,200,0.0,25,50,20,15,True,14,True,14,3,30,70,1848.01,0.0,0.3214285714285714,0.0,56,894.64,-255.71,0.0,33.00017857142856,550,completed,,17.38413166999817,logs\backtest_results\EUR-USD_20251021_205615,6,0.0,107.0,19
50,20,250,2.0,25,50,20,15,True,14,True,14,3,30,70,1342.94,0.0,0.3333333333333333,0.0,54,666.43,-255.71,0.0,24.869259259259223,652,completed,,16.193673849105835,logs\backtest_results\EUR-USD_20251021_205357,8,0.0,47.0,20
49,20,250,1.5,25,50,20,15,True,14,True,14,3,30,70,1342.94,0.0,0.3333333333333333,0.0,54,666.43,-255.71,0.0,24.869259259259223,652,completed,,16.002301692962646,logs\backtest_results\EUR-USD_20251021_205357,8,0.0,46.0,21
48,20,250,1.0,25,50,20,15,True,14,True,14,3,30,70,1277.67,0.0,0.3333333333333333,0.0,54,666.43,-255.71,0.0,23.660555555555533,622,completed,,16.45563292503357,logs\backtest_results\EUR-USD_20251021_205357,8,0.0,45.0,22
78,40,50,1.0,25,50,20,15,True,14,True,14,3,30,70,980.08,0.0,0.3282442748091603,0.0,131,670.38,-255.7,0.0,7.481526717557216,2684,completed,,17.9061439037323,logs\backtest_results\EUR-USD_20251021_205504,9,0.0,75.0,23
79,40,50,1.5,25,50,20,15,True,14,True,14,3,30,70,980.08,0.0,0.3282442748091603,0.0,131,670.38,-255.7,0.0,7.481526717557216,2684,completed,,17.3168625831604,logs\backtest_results\EUR-USD_20251021_205504,9,0.0,74.0,24
21,10,250,0.0,25,50,20,15,True,14,True,14,3,30,70,963.14,0.0,0.3108108108108108,0.0,74,666.43,-255.71,0.0,13.015405405405431,464,completed,,16.146331548690796,logs\backtest_results\EUR-USD_20251021_205305,10,0.0,22.0,25
22,10,250,0.5,25,50,20,15,True,14,True,14,3,30,70,963.14,0.0,0.3108108108108108,0.0,74,666.43,-255.71,0.0,13.015405405405431,464,completed,,15.917287111282349,logs\backtest_results\EUR-USD_20251021_205305,10,0.0,23.0,26
18,10,200,1.0,25,50,20,15,True,14,True,14,3,30,70,963.14,0.0,0.3108108108108108,0.0,74,666.43,-255.71,0.0,13.015405405405431,464,completed,,16.015930891036987,logs\backtest_results\EUR-USD_20251021_205305,10,0.0,21.0,27
75,30,250,2.0,25,50,20,15,True,14,True,14,3,30,70,958.74,0.0,0.3191489361702128,0.0,47,571.83,-255.7,0.0,20.39872340425532,659,completed,,16.322817087173462,logs\backtest_results\EUR-USD_20251021_205449,8,0.0,71.0,28
74,30,250,1.5,25,50,20,15,True,14,True,14,3,30,70,958.74,0.0,0.3191489361702128,0.0,47,571.83,-255.7,0.0,20.39872340425532,659,completed,,16.44407343864441,logs\backtest_results\EUR-USD_20251021_205449,8,0.0,70.0,29
95,40,200,2.0,25,50,20,15,True,14,True,14,3,30,70,331.75,0.0,0.3050847457627119,0.0,59,666.43,-255.71,0.0,5.622881355932236,694,completed,,18.123231649398804,logs\backtest_results\EUR-USD_20251021_205540,6,0.0,91.0,30
51,30,50,0.0,25,50,20,15,True,14,True,14,3,30,70,222.05,0.0,0.296551724137931,0.0,145,670.38,-255.69,0.0,1.5313793103447892,1686,completed,,16.8079993724823,logs\backtest_results\EUR-USD_20251021_205359,12,0.0,48.0,31
55,30,50,2.0,25,50,20,15,True,14,True,14,3,30,70,199.16,0.0,0.3181818181818182,0.0,132,670.38,-255.7,0.0,1.5087878787878708,2394,completed,,17.429181337356567,logs\backtest_results\EUR-USD_20251021_205413,10,0.0,50.0,32
54,30,50,1.5,25,50,20,15,True,14,True,14,3,30,70,199.16,0.0,0.3181818181818182,0.0,132,670.38,-255.7,0.0,1.5087878787878708,2394,completed,,17.823702812194824,logs\backtest_results\EUR-USD_20251021_205413,10,0.0,51.0,33
89,40,150,1.5,25,50,20,15,True,14,True,14,3,30,70,183.59,0.0,0.2950819672131147,0.0,61,666.43,-255.71,0.0,3.009672131147539,435,completed,,17.55099868774414,logs\backtest_results\EUR-USD_20251021_205524,10,0.0,84.0,34
91,40,200,0.0,25,50,20,15,True,14,True,14,3,30,70,183.59,0.0,0.2950819672131147,0.0,61,666.43,-255.71,0.0,3.009672131147539,435,completed,,18.035747051239014,logs\backtest_results\EUR-USD_20251021_205524,10,0.0,87.0,35
90,40,150,2.0,25,50,20,15,True,14,True,14,3,30,70,183.59,0.0,0.2950819672131147,0.0,61,666.43,-255.71,0.0,3.009672131147539,435,completed,,17.876367568969727,logs\backtest_results\EUR-USD_20251021_205524,10,0.0,86.0,36
88,40,150,1.0,25,50,20,15,True,14,True,14,3,30,70,183.59,0.0,0.2950819672131147,0.0,61,666.43,-255.71,0.0,3.009672131147539,435,completed,,17.804232120513916,logs\backtest_results\EUR-USD_20251021_205524,10,0.0,85.0,37
65,30,150,2.0,25,50,20,15,True,14,True,14,3,30,70,64.49,0.0,0.2950819672131147,0.0,61,615.4,-255.71,0.0,1.05721311475412,544,completed,,17.28608775138855,logs\backtest_results\EUR-USD_20251021_205432,11,0.0,62.0,38
66,30,200,0.0,25,50,20,15,True,14,True,14,3,30,70,64.49,0.0,0.2950819672131147,0.0,61,615.4,-255.71,0.0,1.05721311475412,544,completed,,17.42457389831543,logs\backtest_results\EUR-USD_20251021_205432,11,0.0,63.0,39
64,30,150,1.5,25,50,20,15,True,14,True,14,3,30,70,64.49,0.0,0.2950819672131147,0.0,61,615.4,-255.71,0.0,1.05721311475412,544,completed,,17.070384740829468,logs\backtest_results\EUR-USD_20251021_205432,11,0.0,61.0,40
24,10,250,1.5,25,50,20,15,True,14,True,14,3,30,70,2.07,0.0,0.2898550724637681,0.0,69,666.43,-255.71,0.0,0.0300000000000295,503,completed,,15.911794424057009,logs\backtest_results\EUR-USD_20251021_205306,10,0.0,24.0,41
47,20,250,0.5,25,50,20,15,True,14,True,14,3,30,70,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,failed,,2.9447834491729736,,0,,,42
28,20,50,1.0,25,50,20,15,True,14,True,14,3,30,70,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,failed,,2.9270689487457275,,0,,,43
