parameter,objective,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,variance_contribution,stability_rating
stoch_period_d,sharpe_ratio,-0.491,0.0000,-0.486,0.0000,0.244,high
stoch_bearish_threshold,sharpe_ratio,0.452,0.0000,0.444,0.0000,0.208,high
stoch_bullish_threshold,sharpe_ratio,0.128,0.0000,0.124,0.0000,0.033,high
stoch_period_k,sharpe_ratio,-0.088,0.0000,-0.062,0.0026,0.124,high
dmi_period,sharpe_ratio,-0.078,0.0001,-0.058,0.0043,0.019,medium
fast_period,sharpe_ratio,0.000,1.0000,0.000,1.0000,0.000,undefined
slow_period,sharpe_ratio,0.000,1.0000,0.000,1.0000,0.000,undefined
crossover_threshold_pips,sharpe_ratio,0.000,1.0000,0.000,1.0000,0.000,high
stop_loss_pips,sharpe_ratio,0.000,1.0000,0.000,1.0000,0.000,undefined
take_profit_pips,sharpe_ratio,0.000,1.0000,0.000,1.0000,0.000,undefined
trailing_stop_activation_pips,sharpe_ratio,0.000,1.0000,0.000,1.0000,0.000,undefined
trailing_stop_distance_pips,sharpe_ratio,0.000,1.0000,0.000,1.0000,0.000,undefined
