hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,303.8,42.0,192.5,253.5,0.0
1,70.3,0.0,-170.0,0.0,31.5,0.0
2,553.1,0.0,0.0,638.6,0.0,0.0
3,-693.3,494.2,361.9,0.0,-160.5,0.0
4,7.0,235.2,839.2,0.0,0.0,0.0
5,0.0,79.8,0.0,-246.0,1062.8,0.0
6,482.4,-180.7,550.7,252.2,-670.8,0.0
7,473.4,609.1,82.9,0.0,0.0,0.0
8,831.3,-306.9,0.0,-492.3,0.0,0.0
9,9.4,0.0,0.0,1289.5,1525.2,0.0
10,542.5,46.8,415.1,940.4,0.0,0.0
11,399.2,0.0,0.0,295.7,690.7,0.0
12,0.0,278.5,885.0,0.0,804.3,0.0
13,231.6,-570.2,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,317.3,0.0,0.0
15,182.6,0.0,0.0,738.3,0.0,0.0
16,106.4,577.4,4.8,0.0,-53.8,0.0
17,0.0,0.0,136.8,380.8,0.0,1175.9
18,405.1,308.3,444.9,0.0,0.0,516.2
19,-107.7,-102.7,256.8,122.5,0.0,512.8
20,136.5,0.0,231.2,0.0,0.0,0.0
21,497.7,0.0,0.0,-665.0,0.0,0.0
22,15.9,525.4,0.0,624.9,0.0,684.3
23,0.0,216.8,661.9,241.2,0.0,0.0
