entry_time,exit_time,side,entry,exit,pnl,exit_reason,partial_closed,entry_hour,entry_weekday,duration_bars,entry_month
2025-01-02 11:00:00+00:00,2025-01-02 11:06:00+00:00,LONG,1.03168,1.03271,98.87,TP,False,6,3,0,2025-01
2025-01-02 11:15:00+00:00,2025-01-02 11:33:00+00:00,LONG,1.03311,1.03194,-121.13,SL,False,6,3,0,2025-01
2025-01-02 11:45:00+00:00,2025-01-02 13:31:00+00:00,LONG,1.03241,1.03113,-132.12,SL,False,6,3,0,2025-01
2025-01-02 14:00:00+00:00,2025-01-02 15:04:00+00:00,LONG,1.03134,1.0301,-128.12,SL,False,9,3,0,2025-01
2025-01-02 15:30:00+00:00,2025-01-02 16:00:00+00:00,LONG,1.02857,1.02725,-136.11,SL,False,10,3,0,2025-01
2025-01-02 16:00:00+00:00,2025-01-02 16:04:00+00:00,LONG,1.02744,1.02292,-456.1,SL,False,11,3,0,2025-01
2025-01-02 16:15:00+00:00,2025-01-03 06:50:00+00:00,LONG,1.02576,1.0275,169.89,TP,False,11,3,0,2025-01
2025-01-03 08:00:00+00:00,2025-01-03 08:01:00+00:00,LONG,1.02809,1.0287,56.88,TP,False,3,4,0,2025-01
2025-01-03 08:15:00+00:00,2025-01-03 08:32:00+00:00,LONG,1.02846,1.02781,-69.12,SL,False,3,4,0,2025-01
2025-01-03 14:00:00+00:00,2025-01-03 14:58:00+00:00,LONG,1.02933,1.03001,63.88,TP,False,9,4,0,2025-01
2025-01-03 16:45:00+00:00,2025-01-03 17:07:00+00:00,LONG,1.02898,1.02998,95.88,TP,False,11,4,0,2025-01
2025-01-03 17:15:00+00:00,2025-01-03 18:04:00+00:00,LONG,1.03026,1.02928,-102.12,SL,False,12,4,0,2025-01
2025-01-03 21:00:00+00:00,2025-01-05 22:57:00+00:00,LONG,1.03059,1.02963,-100.12,SL,False,16,4,0,2025-01
2025-01-05 23:00:00+00:00,2025-01-05 23:01:00+00:00,LONG,1.0302,1.03066,41.88,TP,False,18,6,0,2025-01
2025-01-06 03:00:00+00:00,2025-01-06 05:56:00+00:00,SHORT,1.03161,1.03106,50.88,TP,False,22,6,0,2025-01
2025-01-06 07:45:00+00:00,2025-01-06 07:59:00+00:00,SHORT,1.03228,1.03284,-60.13,SL,False,2,0,0,2025-01
2025-01-06 08:15:00+00:00,2025-01-06 08:31:00+00:00,SHORT,1.03372,1.03436,-68.14,SL,False,3,0,0,2025-01
2025-01-06 08:45:00+00:00,2025-01-06 08:52:00+00:00,SHORT,1.03351,1.03432,-85.14,SL,False,3,0,0,2025-01
2025-01-06 09:00:00+00:00,2025-01-06 09:03:00+00:00,SHORT,1.03503,1.03404,94.86,TP,False,4,0,0,2025-01
2025-01-06 09:15:00+00:00,2025-01-06 10:12:00+00:00,SHORT,1.03571,1.03468,98.86,TP,False,4,0,0,2025-01
2025-01-06 13:45:00+00:00,2025-01-06 14:16:00+00:00,SHORT,1.04103,1.0377,328.84,TP,False,8,0,0,2025-01
2025-01-06 14:45:00+00:00,2025-01-06 14:52:00+00:00,LONG,1.0369,1.03923,228.85,TP,False,9,0,0,2025-01
2025-01-06 15:15:00+00:00,2025-01-07 07:12:00+00:00,LONG,1.03857,1.04092,230.84,TP,False,10,0,0,2025-01
2025-01-07 09:15:00+00:00,2025-01-07 10:05:00+00:00,SHORT,1.04263,1.04169,89.83,TP,False,4,1,0,2025-01
2025-01-07 12:15:00+00:00,2025-01-07 12:38:00+00:00,SHORT,1.04099,1.04009,85.84,TP,False,7,1,0,2025-01
2025-01-07 13:15:00+00:00,2025-01-07 13:50:00+00:00,LONG,1.03968,1.03866,-106.16,SL,False,8,1,0,2025-01
2025-01-07 15:15:00+00:00,2025-01-07 15:21:00+00:00,LONG,1.03683,1.03793,105.85,TP,False,10,1,0,2025-01
2025-01-07 15:45:00+00:00,2025-01-07 16:32:00+00:00,LONG,1.03639,1.03798,154.85,TP,False,10,1,0,2025-01
2025-01-07 17:00:00+00:00,2025-01-07 17:24:00+00:00,LONG,1.03684,1.0354,-148.14,SL,False,12,1,0,2025-01
2025-01-07 17:30:00+00:00,2025-01-07 18:38:00+00:00,LONG,1.03693,1.03545,-152.14,SL,False,12,1,0,2025-01
2025-01-07 18:45:00+00:00,2025-01-07 21:46:00+00:00,LONG,1.03524,1.03403,-125.14,SL,False,13,1,0,2025-01
2025-01-07 23:00:00+00:00,2025-01-08 00:23:00+00:00,LONG,1.03427,1.03472,40.86,TP,False,18,1,0,2025-01
2025-01-08 00:30:00+00:00,2025-01-08 00:34:00+00:00,SHORT,1.03492,1.03448,39.86,TP,False,19,1,0,2025-01
2025-01-08 03:15:00+00:00,2025-01-08 03:33:00+00:00,LONG,1.03524,1.03471,-57.14,SL,False,22,1,0,2025-01
2025-01-08 03:45:00+00:00,2025-01-08 04:11:00+00:00,LONG,1.0347,1.03505,30.86,TP,False,22,1,0,2025-01
2025-01-08 05:15:00+00:00,2025-01-08 05:25:00+00:00,LONG,1.03504,1.03538,29.86,TP,False,0,2,0,2025-01
2025-01-08 08:00:00+00:00,2025-01-08 08:07:00+00:00,LONG,1.03323,1.0325,-77.14,SL,False,3,2,0,2025-01
2025-01-08 08:15:00+00:00,2025-01-08 08:19:00+00:00,LONG,1.03308,1.03382,69.86,TP,False,3,2,0,2025-01
2025-01-08 08:30:00+00:00,2025-01-08 09:26:00+00:00,LONG,1.03254,1.03153,-105.13,SL,False,3,2,0,2025-01
2025-01-08 09:30:00+00:00,2025-01-08 10:12:00+00:00,LONG,1.03208,1.03113,-99.12,SL,False,4,2,0,2025-01
2025-01-08 11:30:00+00:00,2025-01-08 11:32:00+00:00,LONG,1.03005,1.02888,-121.12,SL,False,6,2,0,2025-01
2025-01-08 11:45:00+00:00,2025-01-08 11:49:00+00:00,LONG,1.02849,1.02946,92.88,TP,False,6,2,0,2025-01
2025-01-08 12:00:00+00:00,2025-01-08 12:19:00+00:00,LONG,1.02979,1.02862,-121.12,SL,False,7,2,0,2025-01
2025-01-08 12:30:00+00:00,2025-01-08 12:41:00+00:00,LONG,1.02889,1.03,106.88,TP,False,7,2,0,2025-01
2025-01-08 12:45:00+00:00,2025-01-08 12:57:00+00:00,LONG,1.02925,1.02807,-122.12,SL,False,7,2,0,2025-01
2025-01-08 22:00:00+00:00,2025-01-08 23:20:00+00:00,LONG,1.03187,1.03139,-52.12,SL,False,17,2,0,2025-01
2025-01-09 00:45:00+00:00,2025-01-09 00:58:00+00:00,LONG,1.03085,1.03122,32.88,TP,False,19,2,0,2025-01
2025-01-09 01:00:00+00:00,2025-01-09 01:22:00+00:00,LONG,1.03132,1.03174,37.88,TP,False,20,2,0,2025-01
2025-01-09 01:45:00+00:00,2025-01-09 02:16:00+00:00,SHORT,1.03142,1.03181,-43.12,SL,False,20,2,0,2025-01
2025-01-09 04:30:00+00:00,2025-01-09 06:03:00+00:00,SHORT,1.03096,1.03053,38.88,TP,False,23,2,0,2025-01
2025-01-09 07:45:00+00:00,2025-01-09 08:00:00+00:00,SHORT,1.0294,1.02877,58.88,TP,False,2,3,0,2025-01
2025-01-09 14:30:00+00:00,2025-01-09 15:07:00+00:00,LONG,1.031,1.03033,-71.12,SL,False,9,3,0,2025-01
2025-01-09 19:45:00+00:00,2025-01-10 00:00:00+00:00,LONG,1.03001,1.02956,-49.12,SL,False,14,3,0,2025-01
2025-01-10 00:30:00+00:00,2025-01-10 01:09:00+00:00,LONG,1.02944,1.02985,36.88,TP,False,19,3,0,2025-01
2025-01-10 02:45:00+00:00,2025-01-10 03:12:00+00:00,SHORT,1.02994,1.03033,-43.12,SL,False,21,3,0,2025-01
2025-01-10 03:45:00+00:00,2025-01-10 04:11:00+00:00,LONG,1.03007,1.0297,-41.12,SL,False,22,3,0,2025-01
2025-01-10 04:15:00+00:00,2025-01-10 04:37:00+00:00,LONG,1.02979,1.02938,-45.12,SL,False,23,3,0,2025-01
2025-01-10 04:45:00+00:00,2025-01-10 05:36:00+00:00,LONG,1.02948,1.02902,-50.12,SL,False,23,3,0,2025-01
2025-01-10 05:45:00+00:00,2025-01-10 05:51:00+00:00,LONG,1.02927,1.02892,-39.12,SL,False,0,4,0,2025-01
2025-01-10 06:00:00+00:00,2025-01-10 06:28:00+00:00,LONG,1.02859,1.02822,-41.12,SL,False,1,4,0,2025-01
2025-01-10 06:30:00+00:00,2025-01-10 07:13:00+00:00,SHORT,1.02849,1.02896,-51.12,SL,False,1,4,0,2025-01
2025-01-10 08:00:00+00:00,2025-01-10 08:23:00+00:00,LONG,1.02971,1.03023,47.88,TP,False,3,4,0,2025-01
2025-01-10 08:30:00+00:00,2025-01-10 08:31:00+00:00,LONG,1.03016,1.03078,57.88,TP,False,3,4,0,2025-01
2025-01-10 14:00:00+00:00,2025-01-10 15:02:00+00:00,SHORT,1.02565,1.02362,198.9,TP,False,9,4,0,2025-01
2025-01-10 17:30:00+00:00,2025-01-13 03:33:00+00:00,LONG,1.02392,1.02224,-172.09,SL,False,12,4,0,2025-01
2025-01-13 06:00:00+00:00,2025-01-13 06:08:00+00:00,SHORT,1.02194,1.02249,-59.08,SL,False,1,0,0,2025-01
2025-01-13 06:15:00+00:00,2025-01-13 06:24:00+00:00,SHORT,1.02235,1.02179,51.92,TP,False,1,0,0,2025-01
2025-01-13 07:15:00+00:00,2025-01-13 07:18:00+00:00,SHORT,1.02205,1.02126,74.92,TP,False,2,0,0,2025-01
2025-01-13 09:30:00+00:00,2025-01-13 09:46:00+00:00,LONG,1.01867,1.0198,108.92,TP,False,4,0,0,2025-01
2025-01-13 11:15:00+00:00,2025-01-13 12:56:00+00:00,LONG,1.01951,1.02065,109.92,TP,False,6,0,0,2025-01
2025-01-13 18:15:00+00:00,2025-01-13 19:53:00+00:00,LONG,1.02164,1.02084,-84.08,SL,False,13,0,0,2025-01
2025-01-13 20:15:00+00:00,2025-01-13 21:06:00+00:00,LONG,1.0213,1.02187,52.92,TP,False,15,0,0,2025-01
2025-01-13 21:30:00+00:00,2025-01-13 21:44:00+00:00,LONG,1.02225,1.02299,69.91,TP,False,16,0,0,2025-01
2025-01-13 21:45:00+00:00,2025-01-13 21:49:00+00:00,LONG,1.02278,1.02329,46.9,TP,False,16,0,0,2025-01
2025-01-13 23:00:00+00:00,2025-01-13 23:00:00+00:00,SHORT,1.02601,1.02684,-87.1,SL,False,18,0,0,2025-01
2025-01-13 23:15:00+00:00,2025-01-13 23:31:00+00:00,SHORT,1.02615,1.02715,-104.1,SL,False,18,0,0,2025-01
2025-01-13 23:45:00+00:00,2025-01-14 00:02:00+00:00,SHORT,1.02699,1.02561,133.9,TP,False,18,0,0,2025-01
2025-01-14 00:30:00+00:00,2025-01-14 02:43:00+00:00,SHORT,1.02494,1.02386,103.9,TP,False,19,0,0,2025-01
2025-01-14 05:00:00+00:00,2025-01-14 05:24:00+00:00,SHORT,1.02502,1.02442,55.9,TP,False,0,1,0,2025-01
2025-01-14 10:00:00+00:00,2025-01-14 12:08:00+00:00,SHORT,1.02596,1.02464,127.9,TP,False,5,1,0,2025-01
2025-01-14 12:30:00+00:00,2025-01-14 13:07:00+00:00,LONG,1.02531,1.02447,-88.1,SL,False,7,1,0,2025-01
