client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,position_id,order_side,order_type,last_qty,last_px,currency,commission,liquidity_side,event_id,ts_event,ts_init,info,reconciliation
O-20250102-110000-001-V2-1,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-001,IDEALPRO-001,IDEALPRO-1-1320,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,BUY,MARKET,100000.00,1.03168,USD,2.06 USD,TAKER,1027ccac-153c-48cb-b373-85c663fe370e,2025-01-02 11:00:00+00:00,2025-01-02 11:00:00+00:00,{},False
O-20250102-110000-001-V2-3,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-003,IDEALPRO-001,IDEALPRO-1-1333,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,SELL,LIMIT,100000.00,1.03271,USD,2.07 USD,MAKER,576046cc-afd8-48ad-9e47-e1d229796052,2025-01-02 11:06:00+00:00,2025-01-02 11:06:00+00:00,{},False
O-20250102-113000-001-V2-4,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-004,IDEALPRO-001,IDEALPRO-1-1382,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,BUY,MARKET,100000.00,1.03222,USD,2.06 USD,TAKER,cf7718d4-9136-468c-8373-669751858924,2025-01-02 11:30:00+00:00,2025-01-02 11:30:00+00:00,{},False
O-20250102-113000-001-V2-6,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-006,IDEALPRO-001,IDEALPRO-1-1445,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,SELL,LIMIT,100000.00,1.03342,USD,2.07 USD,MAKER,ad1a95ea-8a53-444f-8940-93385f31a35f,2025-01-02 12:01:00+00:00,2025-01-02 12:01:00+00:00,{},False
O-20250102-130000-001-V2-7,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-007,IDEALPRO-001,IDEALPRO-1-1564,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,BUY,MARKET,100000.00,1.03183,USD,2.06 USD,TAKER,268342ff-a513-469e-bad2-47fea9f27543,2025-01-02 13:00:00+00:00,2025-01-02 13:00:00+00:00,{},False
O-20250102-130000-001-V2-9,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-009,IDEALPRO-001,IDEALPRO-1-1637,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,SELL,LIMIT,100000.00,1.03297,USD,2.07 USD,MAKER,822f973b-76ed-4381-8575-4fc49e8f8d1c,2025-01-02 13:36:00+00:00,2025-01-02 13:36:00+00:00,{},False
O-20250102-141500-001-V2-10,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-010,IDEALPRO-001,IDEALPRO-1-1716,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,BUY,MARKET,100000.00,1.03109,USD,2.06 USD,TAKER,1e9b4ab3-eae7-4ac4-9f97-bfba53e303a6,2025-01-02 14:15:00+00:00,2025-01-02 14:15:00+00:00,{},False
O-20250102-141500-001-V2-12,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-012,IDEALPRO-001,IDEALPRO-1-1751,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,SELL,LIMIT,100000.00,1.03223,USD,2.06 USD,MAKER,5adb00d6-6309-4e6b-bc92-2695ca1bd2d4,2025-01-02 14:32:00+00:00,2025-01-02 14:32:00+00:00,{},False
O-20250102-153000-001-V2-13,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-013,IDEALPRO-001,IDEALPRO-1-1868,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,BUY,MARKET,100000.00,1.02857,USD,2.06 USD,TAKER,719fc99c-6aa1-4f32-9977-2be19009ee42,2025-01-02 15:30:00+00:00,2025-01-02 15:30:00+00:00,{},False
O-20250102-153000-001-V2-14,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-014,IDEALPRO-001,IDEALPRO-1-1929,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,SELL,STOP_MARKET,100000.00,1.02725,USD,2.05 USD,TAKER,e253f5c5-991d-4684-8cf2-a77301160dcc,2025-01-02 16:00:00+00:00,2025-01-02 16:00:00+00:00,{},False
O-20250102-160000-001-V2-16,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-016,IDEALPRO-001,IDEALPRO-1-1930,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,BUY,MARKET,100000.00,1.02744,USD,2.05 USD,TAKER,6c410cf5-5b02-4b00-96f3-d00440862fd5,2025-01-02 16:00:00+00:00,2025-01-02 16:00:00+00:00,{},False
O-20250102-160000-001-V2-17,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-017,IDEALPRO-001,IDEALPRO-1-1939,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,SELL,STOP_MARKET,100000.00,1.02292,USD,2.05 USD,TAKER,4671b7ba-6765-477c-bd46-1646f19e5998,2025-01-02 16:04:00+00:00,2025-01-02 16:04:00+00:00,{},False
O-20250102-161500-001-V2-19,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-019,IDEALPRO-001,IDEALPRO-1-1962,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,BUY,MARKET,100000.00,1.02576,USD,2.05 USD,TAKER,226eac8a-ddc8-4028-95cb-3bf7953c5e3d,2025-01-02 16:15:00+00:00,2025-01-02 16:15:00+00:00,{},False
O-20250102-161500-001-V2-21,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-021,IDEALPRO-001,IDEALPRO-1-3683,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,SELL,LIMIT,100000.00,1.02750,USD,2.06 USD,MAKER,0b78bb07-f7f6-4500-aaef-ee7f8cbeae51,2025-01-03 06:50:00+00:00,2025-01-03 06:50:00+00:00,{},False
O-20250103-081500-001-V2-22,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-022,IDEALPRO-001,IDEALPRO-1-3854,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,BUY,MARKET,100000.00,1.02845,USD,2.06 USD,TAKER,14acf753-42e4-4d59-a71d-e9d9b30455d8,2025-01-03 08:15:00+00:00,2025-01-03 08:15:00+00:00,{},False
O-20250103-081500-001-V2-23,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-023,IDEALPRO-001,IDEALPRO-1-3889,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,SELL,STOP_MARKET,100000.00,1.02781,USD,2.06 USD,TAKER,16874957-3d6b-4376-a7e6-be90e23b1272,2025-01-03 08:32:00+00:00,2025-01-03 08:32:00+00:00,{},False
O-20250103-164500-001-V2-25,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-025,IDEALPRO-001,IDEALPRO-1-4877,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,BUY,MARKET,100000.00,1.02899,USD,2.06 USD,TAKER,ec8b6292-226f-471d-8981-06561ca5b010,2025-01-03 16:45:00+00:00,2025-01-03 16:45:00+00:00,{},False
O-20250103-164500-001-V2-27,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-027,IDEALPRO-001,IDEALPRO-1-4921,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,SELL,LIMIT,100000.00,1.02998,USD,2.06 USD,MAKER,7b2eda04-006f-4f03-b370-feeb94833339,2025-01-03 17:07:00+00:00,2025-01-03 17:07:00+00:00,{},False
