client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20250102-110000-001-V2-1,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-001,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-1320,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.03168,0.0,['2.06 USD'],NO_TRIGGER,FILLED,OTO,OL-20250102-110000-001-V2-1,"['O-20250102-110000-001-V2-2', 'O-20250102-110000-001-V2-3']",,,,,['V2_POS1'],b399d747-0e87-4315-9c13-66c2206b7eaf,1735815600000000000,1735815600000000000,,,,,,,
O-20250102-110000-001-V2-2,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-002,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,STOP_MARKET,SELL,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250102-110000-001-V2-1,['O-20250102-110000-001-V2-3'],O-20250102-110000-001-V2-1,,,,['V2_POS1_SL'],149bc135-ea76-4ccc-8ddb-ae8d51cf48e3,1735815600000000000,1735816200000000000,1.03073,DEFAULT,,,,,
O-20250102-110000-001-V2-3,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-003,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-1341,LIMIT,SELL,100000.00,GTC,True,False,100000.00,MAKER,1.03285,-2.999999999997449e-05,['2.07 USD'],NO_TRIGGER,FILLED,OUO,OL-20250102-110000-001-V2-1,['O-20250102-110000-001-V2-2'],O-20250102-110000-001-V2-1,,,,['V2_POS1_TP'],eb4a207a-eba1-49cc-a4e7-e0ad12b7fe84,1735815600000000000,1735816200000000000,,,,,1.03282,False,
O-20250102-113000-001-V2-4,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-004,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-1382,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.03222,0.0,['2.06 USD'],NO_TRIGGER,FILLED,OTO,OL-20250102-113000-001-V2-2,"['O-20250102-113000-001-V2-5', 'O-20250102-113000-001-V2-6']",,,,,['V2_POS1'],15ed2b4b-d40f-472e-8e9a-03cce8eda42b,1735817400000000000,1735817400000000000,,,,,,,
O-20250102-113000-001-V2-5,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-005,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-1689,STOP_MARKET,SELL,100000.00,GTC,True,False,100000.00,TAKER,1.03103,1.0000000000065512e-05,['2.06 USD'],NO_TRIGGER,FILLED,OUO,OL-20250102-113000-001-V2-2,['O-20250102-113000-001-V2-6'],O-20250102-113000-001-V2-4,,,,['V2_POS1_SL'],69dd11bd-e267-4def-ac79-bba797af5ebb,1735817400000000000,1735826580000000000,1.03104,DEFAULT,,,,,
O-20250102-113000-001-V2-6,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-006,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,LIMIT,SELL,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250102-113000-001-V2-2,['O-20250102-113000-001-V2-5'],O-20250102-113000-001-V2-4,,,,['V2_POS1_TP'],cec531e8-c41a-4663-89bb-07d5e5d201a3,1735817400000000000,1735826580000000000,,,,,1.03361,False,
O-20250102-141500-001-V2-7,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-007,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-1714,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.03109,0.0,['2.06 USD'],NO_TRIGGER,FILLED,OTO,OL-20250102-141500-001-V2-3,"['O-20250102-141500-001-V2-8', 'O-20250102-141500-001-V2-9']",,,,,['V2_POS1'],8f9e1358-0727-434c-a88d-864907090262,1735827300000000000,1735827300000000000,,,,,,,
O-20250102-141500-001-V2-8,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-008,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-1861,STOP_MARKET,SELL,100000.00,GTC,True,False,100000.00,TAKER,1.02884,0.0011200000000000099,['2.06 USD'],NO_TRIGGER,FILLED,OUO,OL-20250102-141500-001-V2-3,['O-20250102-141500-001-V2-9'],O-20250102-141500-001-V2-7,,,,['V2_POS1_SL'],7b0ea22e-2af8-4bc5-938b-1f1c2530b13e,1735827300000000000,1735831680000000000,1.02996,DEFAULT,,,,,
O-20250102-141500-001-V2-9,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-009,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,,LIMIT,SELL,100000.00,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,OUO,OL-20250102-141500-001-V2-3,['O-20250102-141500-001-V2-8'],O-20250102-141500-001-V2-7,,,,['V2_POS1_TP'],fd87fbc1-c2d0-410a-bd6e-6ce767249808,1735827300000000000,1735831680000000000,,,,,1.03245,False,
O-20250102-153000-001-V2-10,BACKTESTER-001,MLSignalStrategyV2-V2,EUR/USD.IDEALPRO,IDEALPRO-1-010,EUR/USD.IDEALPRO-MLSignalStrategyV2-V2,IDEALPRO-001,IDEALPRO-1-1866,MARKET,BUY,100000.00,GTC,False,False,100000.00,TAKER,1.02857,0.0,['2.06 USD'],NO_TRIGGER,FILLED,OTO,OL-20250102-153000-001-V2-4,"['O-20250102-153000-001-V2-11', 'O-20250102-153000-001-V2-12']",,,,,['V2_POS1'],b62801c7-ad95-48f5-ab2a-782d895a19df,1735831800000000000,1735831800000000000,,,,,,,
