hour_EST,Monday,Tuesday,Wednesday,Thursday,Friday,Sunday
0,0.0,45.45454545454545,38.46153846153847,54.54545454545454,58.333333333333336,0.0
1,57.14285714285714,0.0,41.66666666666667,0.0,47.05882352941176,0.0
2,45.0,0.0,0.0,48.148148148148145,0.0,0.0
3,33.33333333333333,64.0,48.0,0.0,39.39393939393939,0.0
4,42.857142857142854,52.63157894736842,57.14285714285714,0.0,0.0,0.0
5,0.0,61.53846153846154,0.0,42.10526315789473,64.0,0.0
6,53.84615384615385,42.857142857142854,54.54545454545454,31.25,38.46153846153847,0.0
7,41.66666666666667,44.44444444444444,41.66666666666667,0.0,0.0,0.0
8,45.83333333333333,40.0,0.0,41.37931034482759,0.0,0.0
9,41.66666666666667,0.0,0.0,63.63636363636363,62.96296296296296,0.0
10,50.0,27.77777777777778,43.75,57.14285714285714,0.0,0.0
11,60.0,0.0,0.0,47.61904761904761,62.5,0.0
12,0.0,42.857142857142854,38.46153846153847,0.0,45.0,0.0
13,48.0,31.25,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,62.5,0.0,0.0
15,47.05882352941176,0.0,0.0,50.0,0.0,0.0
16,50.0,41.66666666666667,50.0,0.0,38.095238095238095,0.0
17,0.0,0.0,33.33333333333333,47.61904761904761,0.0,59.25925925925925
18,62.5,46.15384615384615,83.33333333333334,0.0,0.0,43.90243902439025
19,33.33333333333333,36.36363636363637,43.75,47.05882352941176,0.0,64.70588235294117
20,56.52173913043478,0.0,40.0,0.0,0.0,0.0
21,48.148148148148145,0.0,0.0,37.5,0.0,0.0
22,47.05882352941176,56.00000000000001,0.0,50.0,0.0,51.85185185185185
23,0.0,64.70588235294117,47.82608695652174,62.5,0.0,0.0
