config,folder,name,MTF2_SL_ATR_MULT,MTF2_POS1_TP_ATR_MULT,MTF2_POS2_TP_ATR_MULT,MTF2_POS1_FRACTION,MTF2_POS2_FRACTION,MTF2_POS3_FRACTION,MTF2_TRAILING_DISTANCE_ATR_MULT,MTF2_PREDICTION_THRESHOLD,total_pnl,num_trades,win_rate,sharpe,max_drawdown,max_drawdown_pct,neg_days,neg_months,total_days,total_months,score
SL1.2_TP0.8_TR0.4_TH0.68,OPT_SL1.2_TP0.8_TR0.4_TH0.68_022143,SL1.2_TP0.8_TR0.4_TH0.68,1.2,0.8,0.8,1.0,0.0,0.0,0.4,0.68,30864.07,1359,0.70345842531273,3.290742890016093,-1212.509999999998,3.882017108268477,70,1,229,11,0.6496683233316196
SL1.2_TP0.8_TR0.5_TH0.68,OPT_SL1.2_TP0.8_TR0.5_TH0.68_030357,SL1.2_TP0.8_TR0.5_TH0.68,1.2,0.8,0.8,1.0,0.0,0.0,0.5,0.68,30864.07,1359,0.70345842531273,3.290742890016093,-1212.509999999998,3.882017108268477,70,1,229,11,0.6496683233316196
SL1.6_TP1.2_TR0.5_TH0.68,OPT_SL1.6_TP1.2_TR0.5_TH0.68_083022,SL1.6_TP1.2_TR0.5_TH0.68,1.6,1.2,1.2,1.0,0.0,0.0,0.5,0.68,34744.340000000004,1015,0.6896551724137931,3.499752095095738,-2310.8199999999924,6.6186246738405075,66,1,219,11,0.6376828921664708
SL1.6_TP1.2_TR0.4_TH0.68,OPT_SL1.6_TP1.2_TR0.4_TH0.68_075017,SL1.6_TP1.2_TR0.4_TH0.68,1.6,1.2,1.2,1.0,0.0,0.0,0.4,0.68,34744.340000000004,1015,0.6896551724137931,3.499752095095738,-2310.8199999999924,6.6186246738405075,66,1,219,11,0.6376828921664708
SL1.2_TP1.0_TR0.5_TH0.68,OPT_SL1.2_TP1.0_TR0.5_TH0.68_042713,SL1.2_TP1.0_TR0.5_TH0.68,1.2,1.0,1.0,1.0,0.0,0.0,0.5,0.68,30704.950000000004,1230,0.6544715447154471,3.1186777680007687,-1261.7099999999991,4.057490685243221,77,1,227,11,0.6336651683206087
SL1.2_TP1.0_TR0.4_TH0.68,OPT_SL1.2_TP1.0_TR0.4_TH0.68_034545,SL1.2_TP1.0_TR0.4_TH0.68,1.2,1.0,1.0,1.0,0.0,0.0,0.4,0.68,30704.950000000004,1230,0.6544715447154471,3.1186777680007687,-1261.7099999999991,4.057490685243221,77,1,227,11,0.6336651683206087
SL1.2_TP1.2_TR0.4_TH0.68,OPT_SL1.2_TP1.2_TR0.4_TH0.68_050827,SL1.2_TP1.2_TR0.4_TH0.68,1.2,1.2,1.2,1.0,0.0,0.0,0.4,0.68,30845.449999999997,1132,0.6130742049469965,3.042202819632373,-1261.71,4.029324383750105,78,1,226,11,0.6262922751884106
SL1.2_TP1.2_TR0.5_TH0.68,OPT_SL1.2_TP1.2_TR0.5_TH0.68_054915,SL1.2_TP1.2_TR0.5_TH0.68,1.2,1.2,1.2,1.0,0.0,0.0,0.5,0.68,30845.449999999997,1132,0.6130742049469965,3.042202819632373,-1261.71,4.029324383750105,78,1,226,11,0.6262922751884106
SL1.6_TP1.2_TR0.5_TH0.65,OPT_SL1.6_TP1.2_TR0.5_TH0.65_081033,SL1.6_TP1.2_TR0.5_TH0.65,1.6,1.2,1.2,1.0,0.0,0.0,0.5,0.65,35612.54,1313,0.6686976389946687,2.812081818822597,-2640.1599999999635,7.387129266927721,78,1,222,11,0.610271221941487
SL1.6_TP1.2_TR0.4_TH0.65,OPT_SL1.6_TP1.2_TR0.4_TH0.65_073023,SL1.6_TP1.2_TR0.4_TH0.65,1.6,1.2,1.2,1.0,0.0,0.0,0.4,0.65,35612.54,1313,0.6686976389946687,2.812081818822597,-2640.1599999999635,7.387129266927721,78,1,222,11,0.610271221941487
SL1.2_TP1.5_TR0.4_TH0.68,OPT_SL1.2_TP1.5_TR0.4_TH0.68_062935,SL1.2_TP1.5_TR0.4_TH0.68,1.2,1.5,1.5,1.0,0.0,0.0,0.4,0.68,30892.74,1012,0.5652173913043478,3.026002233734844,-1713.4500000000116,5.485119957487919,79,1,222,11,0.5987607483335506
SL1.2_TP1.5_TR0.5_TH0.68,OPT_SL1.2_TP1.5_TR0.5_TH0.68_070948,SL1.2_TP1.5_TR0.5_TH0.68,1.2,1.5,1.5,1.0,0.0,0.0,0.5,0.68,30892.74,1012,0.5652173913043478,3.026002233734844,-1713.4500000000116,5.485119957487919,79,1,222,11,0.5987607483335506
