trader_id,strategy_id,instrument_id,venue_order_id,account_id,trade_id,position_id,order_side,order_type,last_qty,last_px,currency,commission,liquidity_side,event_id,ts_event,ts_init,info,reconciliation
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-001,IDEALPRO-001,IDEALPRO-1-856,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,SELL,MARKET,0.01,1.09462,USD,0.00 USD,TAKER,e0aa1a6b-8132-47e3-a3a7-6d0c0bf1632a,2024-01-02 14:15:00+00:00,2024-01-02 14:15:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-001,IDEALPRO-001,IDEALPRO-1-857,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,SELL,MARKET,99999.99,1.09461,USD,2.19 USD,TAKER,46a03b51-a431-470b-a30e-7587ad4470b4,2024-01-02 14:15:00+00:00,2024-01-02 14:15:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-002,IDEALPRO-001,IDEALPRO-1-870,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,BUY,STOP_MARKET,0.01,1.09537,USD,0.00 USD,TAKER,7a80466d-68f6-4050-978b-b7a7e4304109,2024-01-02 14:27:00+00:00,2024-01-02 14:27:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-002,IDEALPRO-001,IDEALPRO-1-871,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,BUY,STOP_MARKET,99999.99,1.09538,USD,2.19 USD,TAKER,992a1d61-7173-42fb-ae28-51d1ce658c8a,2024-01-02 14:27:00+00:00,2024-01-02 14:27:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-004,IDEALPRO-001,IDEALPRO-1-4070,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,BUY,MARKET,0.01,1.09462,USD,0.00 USD,TAKER,99dbd39d-b382-4d3d-9cde-40c923ccb85e,2024-01-04 20:15:00+00:00,2024-01-04 20:15:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-004,IDEALPRO-001,IDEALPRO-1-4071,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,BUY,MARKET,99999.99,1.09463,USD,2.19 USD,TAKER,95b8adbd-d3be-4c9b-b3bc-eae85fadc8af,2024-01-04 20:15:00+00:00,2024-01-04 20:15:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-005,IDEALPRO-001,IDEALPRO-1-4439,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,SELL,STOP_MARKET,0.01,1.09499,USD,0.00 USD,TAKER,ef8e4f77-e808-43e8-b12d-2b391b2b0bbe,2024-01-05 02:37:00+00:00,2024-01-05 02:37:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-005,IDEALPRO-001,IDEALPRO-1-4440,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,SELL,STOP_MARKET,99999.99,1.09498,USD,2.19 USD,TAKER,9d93b13d-77d0-4163-98db-e2eef60abc10,2024-01-05 02:37:00+00:00,2024-01-05 02:37:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-007,IDEALPRO-001,IDEALPRO-1-8004,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,SELL,MARKET,0.01,1.09426,USD,0.00 USD,TAKER,ad67a6c9-9837-4da3-a639-1069334611d9,2024-01-09 14:30:00+00:00,2024-01-09 14:30:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-007,IDEALPRO-001,IDEALPRO-1-8005,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,SELL,MARKET,99999.99,1.09425,USD,2.19 USD,TAKER,c9eea803-aa77-468b-80d0-d8247aad9c0c,2024-01-09 14:30:00+00:00,2024-01-09 14:30:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-008,IDEALPRO-001,IDEALPRO-1-8012,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,BUY,STOP_MARKET,0.01,1.09501,USD,0.00 USD,TAKER,8e251aaa-b63e-41fd-91f9-2ea3c4f1abec,2024-01-09 14:36:00+00:00,2024-01-09 14:36:00+00:00,{},False
BACKTESTER-001,MovingAverageCrossover-MA_CROSS,EUR/USD.IDEALPRO,IDEALPRO-1-008,IDEALPRO-001,IDEALPRO-1-8013,EUR/USD.IDEALPRO-MovingAverageCrossover-MA_CROSS,BUY,STOP_MARKET,99999.99,1.09502,USD,2.19 USD,TAKER,6a090714-2885-45f7-a884-7c36204cfdc8,2024-01-09 14:36:00+00:00,2024-01-09 14:36:00+00:00,{},False
