hour,total_pnl,avg_pnl,trade_count,std_pnl,wins,losses,win_rate
2,1135.44,70.965,16,155.69736289781318,10,6,62.5
3,-2.4800000000000466,-0.1550000000000029,16,126.87055187604936,8,8,50.0
4,45.620000000000005,15.206666666666669,3,168.78840284016357,1,2,33.3
5,86.32,86.32,1,0.0,1,0,100.0
6,-59.67,-29.835,2,95.46648652799578,1,1,50.0
7,744.99,37.2495,20,122.49474878003633,10,10,50.0
8,55.45,55.45,1,0.0,1,0,100.0
9,-276.60999999999996,-21.277692307692305,13,84.83050848150546,4,9,30.8
14,-304.15999999999997,-10.488275862068964,29,113.1649790624595,14,15,48.3
15,460.61999999999995,20.026956521739127,23,149.00739025097752,11,12,47.8
16,175.22,43.805,4,154.11539605114086,3,1,75.0
17,46.809999999999995,23.404999999999998,2,15.605846660787103,2,0,100.0
20,1520.4600000000003,17.679767441860466,86,191.29779934146254,51,35,59.3
21,120.63,120.63,1,0.0,1,0,100.0
22,167.66,55.88666666666666,3,211.9396351165429,2,1,66.7
23,120.7,120.7,1,0.0,1,0,100.0
