month,total_pnl,avg_pnl,trade_count,std_pnl,wins,losses,win_rate
2024-01,-477.02,-34.07285714285714,14,83.36816025950762,5,9,35.7
2024-02,-5.889999999999986,-0.6544444444444429,9,85.59643335313555,5,4,55.6
2024-03,-165.85000000000002,-20.731250000000003,8,88.30537913359849,3,5,37.5
2024-04,-592.98,-42.355714285714285,14,66.49164767840402,4,10,28.6
2024-05,-146.94,-16.326666666666668,9,88.32910378238873,4,5,44.4
2024-06,-156.68000000000006,-13.056666666666672,12,128.57400425318085,6,6,50.0
2024-07,74.65999999999998,7.465999999999998,10,87.96968470255345,7,3,70.0
2024-08,-294.33,-26.757272727272724,11,87.14859736001596,4,7,36.4
2024-09,-24.510000000000005,-2.4510000000000005,10,128.41125889111126,4,6,40.0
2024-10,-155.25999999999996,-22.179999999999996,7,109.5359478284032,3,4,42.9
2024-11,-65.24999999999997,-8.156249999999996,8,136.56660415212374,4,4,50.0
2024-12,356.86,32.441818181818185,11,140.6477076114774,6,5,54.5
2025-01,-195.12,-24.39,8,100.97557399122395,3,5,37.5
2025-02,324.62,40.5775,8,75.24544082059533,6,2,75.0
2025-03,-299.58,-59.916,5,118.43331976264112,1,4,20.0
2025-04,1928.89,148.37615384615384,13,277.0123118364495,11,2,84.6
2025-05,1227.3,111.57272727272726,11,211.77099726312426,8,3,72.7
2025-06,360.31,45.03875,8,183.25821154375123,7,1,87.5
2025-07,15.559999999999988,3.1119999999999974,5,132.9044255094615,3,2,60.0
2025-08,2058.7200000000003,121.10117647058826,17,242.90661705896244,13,4,76.5
2025-09,477.11999999999995,47.711999999999996,10,163.01655292910866,7,3,70.0
2025-10,-207.62999999999994,-15.971538461538456,13,164.90125483887593,7,6,53.8
