Hour,Total_Trades,Near_SL_Trades,Fade_Percent,Win_Rate,Avg_PnL,Recommended_SL,Reason
22,27,11,40.74074074074074,74.07407407407408,1.3966666666666667,1.4,Moderate fade + good win rate
21,43,15,34.883720930232556,86.04651162790698,1.9960465116279074,1.6,High fade + high win rate
20,77,26,33.76623376623377,83.11688311688312,3.3250649350649355,1.6,High fade + high win rate
19,27,9,33.33333333333333,77.77777777777779,2.37,1.6,High fade + high win rate
18,10,3,30.0,70.0,-0.6439999999999992,1.4,Moderate fade + good win rate
17,29,8,27.586206896551722,86.20689655172413,4.57551724137931,1.6,High fade + high win rate
10,47,11,23.404255319148938,78.72340425531915,4.337021276595745,1.4,Moderate fade + good win rate
16,46,10,21.73913043478261,82.6086956521739,8.712826086956522,1.4,Moderate fade + good win rate
2,47,8,17.02127659574468,80.85106382978722,2.11468085106383,1.4,Moderate fade + good win rate
3,31,5,16.129032258064516,70.96774193548387,0.6612903225806454,1.4,Moderate fade + good win rate
5,25,4,16.0,72.0,1.0567999999999997,1.4,Moderate fade + good win rate
9,20,3,15.0,75.0,0.5329999999999995,1.4,Moderate fade + good win rate
4,64,8,12.5,73.4375,1.99765625,1.2,Standard
23,94,9,9.574468085106384,71.27659574468085,1.5101063829787238,1.2,Standard
15,35,3,8.571428571428571,80.0,8.607714285714284,1.2,Standard
14,38,3,7.894736842105263,60.526315789473685,-3.5744736842105267,1.0,Low fade + poor win rate
13,33,2,6.0606060606060606,78.78787878787878,8.577575757575758,1.2,Standard
11,24,1,4.166666666666666,75.0,1.8245833333333337,1.2,Standard
6,27,1,3.7037037037037033,55.55555555555556,-1.9392592592592595,1.0,Low fade + poor win rate
12,43,1,2.3255813953488373,67.44186046511628,-1.2541860465116288,1.2,Standard
1,43,1,2.3255813953488373,74.4186046511628,0.14604651162790694,1.2,Standard
0,47,1,2.127659574468085,65.95744680851064,-0.8974468085106382,1.2,Standard
7,3,0,0.0,66.66666666666666,-0.0866666666666666,1.2,Standard
