check_bars,min_profit_atr,sl_atr,pnl,win_rate,trades,label
0,0.0,0.0,0.0,0.0,0,BASELINE
2,0.1,0.2,0.0,0.0,0,TEST
2,0.1,0.4,0.0,0.0,0,TEST
2,0.1,0.6,0.0,0.0,0,TEST
2,0.1,0.8,0.0,0.0,0,TEST
2,0.2,0.2,0.0,0.0,0,TEST
2,0.2,0.4,0.0,0.0,0,TEST
2,0.2,0.6,0.0,0.0,0,TEST
2,0.2,0.8,0.0,0.0,0,TEST
2,0.3,0.2,0.0,0.0,0,TEST
2,0.3,0.4,0.0,0.0,0,TEST
2,0.3,0.6,0.0,0.0,0,TEST
2,0.3,0.8,0.0,0.0,0,TEST
2,0.4,0.2,0.0,0.0,0,TEST
2,0.4,0.4,0.0,0.0,0,TEST
2,0.4,0.6,0.0,0.0,0,TEST
2,0.4,0.8,0.0,0.0,0,TEST
3,0.1,0.2,0.0,0.0,0,TEST
3,0.1,0.4,0.0,0.0,0,TEST
3,0.1,0.6,0.0,0.0,0,TEST
3,0.1,0.8,0.0,0.0,0,TEST
3,0.2,0.2,0.0,0.0,0,TEST
3,0.2,0.4,0.0,0.0,0,TEST
3,0.2,0.6,0.0,0.0,0,TEST
3,0.2,0.8,0.0,0.0,0,TEST
3,0.3,0.2,0.0,0.0,0,TEST
3,0.3,0.4,0.0,0.0,0,TEST
3,0.3,0.6,0.0,0.0,0,TEST
3,0.3,0.8,0.0,0.0,0,TEST
3,0.4,0.2,0.0,0.0,0,TEST
3,0.4,0.4,0.0,0.0,0,TEST
3,0.4,0.6,0.0,0.0,0,TEST
3,0.4,0.8,0.0,0.0,0,TEST
4,0.1,0.2,0.0,0.0,0,TEST
4,0.1,0.4,0.0,0.0,0,TEST
4,0.1,0.6,0.0,0.0,0,TEST
4,0.1,0.8,0.0,0.0,0,TEST
4,0.2,0.2,0.0,0.0,0,TEST
4,0.2,0.4,0.0,0.0,0,TEST
4,0.2,0.6,0.0,0.0,0,TEST
4,0.2,0.8,0.0,0.0,0,TEST
4,0.3,0.2,0.0,0.0,0,TEST
4,0.3,0.4,0.0,0.0,0,TEST
4,0.3,0.6,0.0,0.0,0,TEST
4,0.3,0.8,0.0,0.0,0,TEST
4,0.4,0.2,0.0,0.0,0,TEST
4,0.4,0.4,0.0,0.0,0,TEST
4,0.4,0.6,0.0,0.0,0,TEST
4,0.4,0.8,0.0,0.0,0,TEST
6,0.1,0.2,0.0,0.0,0,TEST
6,0.1,0.4,0.0,0.0,0,TEST
6,0.1,0.6,0.0,0.0,0,TEST
6,0.1,0.8,0.0,0.0,0,TEST
6,0.2,0.2,0.0,0.0,0,TEST
6,0.2,0.4,0.0,0.0,0,TEST
6,0.2,0.6,0.0,0.0,0,TEST
6,0.2,0.8,0.0,0.0,0,TEST
6,0.3,0.2,0.0,0.0,0,TEST
6,0.3,0.4,0.0,0.0,0,TEST
6,0.3,0.6,0.0,0.0,0,TEST
6,0.3,0.8,0.0,0.0,0,TEST
6,0.4,0.2,0.0,0.0,0,TEST
6,0.4,0.4,0.0,0.0,0,TEST
6,0.4,0.6,0.0,0.0,0,TEST
6,0.4,0.8,0.0,0.0,0,TEST
