iteration,stall_enabled,check_bars,min_profit_atr,sl_atr,total_trades,pnl,win_rate,max_drawdown,weighted_score
Test_07,True,2.0,0.3,0.05,131,134.75,71.0,-201.3,7.1
Test_04,True,2.0,0.2,0.05,134,80.93,70.9,-208.1,6.620720000000002
Test_08,True,2.0,0.3,0.1,129,145.21,69.8,-200.7,6.439839999999998
BASELINE,False,,,,120,276.04,67.5,-183.36,6.1033599999999995
Test_09,True,2.0,0.3,0.15,129,157.21,68.2,-198.5,5.593840000000002
Test_29,True,6.0,0.3,0.15,126,168.22,66.7,-189.5,5.007880000000001
Test_30,True,6.0,0.3,0.2,126,162.82,65.9,-190.3,4.482280000000002
Test_02,True,2.0,0.15,0.05,134,30.53,67.2,-201.38,4.400720000000002
Test_10,True,2.0,0.3,0.2,129,187.81,65.9,-199.3,4.312240000000002
Test_27,True,6.0,0.3,0.05,128,100.36,65.6,-190.9,4.034439999999997
Test_24,True,6.0,0.2,0.05,128,93.16,65.6,-194.7,3.891639999999997
Test_28,True,6.0,0.3,0.1,126,107.42,65.1,-192.5,3.714679999999997
Test_17,True,4.0,0.3,0.05,129,67.43,65.1,-210.9,3.0027199999999965
Test_05,True,2.0,0.2,0.1,133,77.27,64.7,-207.24,2.911880000000002
Test_20,True,4.0,0.3,0.2,126,131.41,62.7,-190.3,2.4366399999999997
Test_22,True,6.0,0.15,0.05,128,82.16,62.5,-187.1,2.2156400000000014
Test_19,True,4.0,0.3,0.15,126,85.81,63.5,-207.7,2.2122399999999995
Test_26,True,6.0,0.2,0.15,128,110.16,61.7,-188.16,1.8158400000000023
Test_14,True,4.0,0.2,0.05,128,75.77,63.3,-217.9,1.7460799999999974
Test_25,True,6.0,0.2,0.1,128,93.96,61.7,-191.64,1.6466400000000023
Test_18,True,4.0,0.3,0.1,126,59.61,62.7,-210.7,1.537440000000001
Test_06,True,2.0,0.2,0.15,133,88.27,61.7,-200.04,1.3718800000000027
Test_01,True,2.0,0.1,0.05,136,-7.15,63.2,-236.12,0.8078000000000021
Test_23,True,6.0,0.15,0.1,128,76.56,59.4,-188.24,0.299039999999998
Test_03,True,2.0,0.15,0.1,133,21.47,60.2,-202.12,0.14228000000000218
Test_12,True,4.0,0.15,0.05,128,48.57,60.2,-211.18,-0.021119999999998917
Test_16,True,4.0,0.2,0.15,129,111.23,59.7,-213.24,-0.13227999999999973
Test_15,True,4.0,0.2,0.1,129,105.83,59.7,-218.64,-0.3158799999999973
Test_21,True,6.0,0.1,0.05,128,54.76,59.4,-207.92,-0.3785600000000011
Test_13,True,4.0,0.15,0.1,129,91.63,56.6,-213.52,-2.0790799999999994
Test_11,True,4.0,0.1,0.05,130,22.29,56.9,-250.66,-3.2906400000000007
